指標名,ホール・劇場,,,,,,,,,,,,,,,,,
出典,東京都生活文化局,,,,,,,,,,,,,,,,,
年次,2020年7月,,,,,,,,,,,,,,,,,
URL,https://www.seikatubunka.metro.tokyo.lg.jp/bunka/bunka_seisaku/0000001271.html,,,,,,,,,,,,,,,,,
備考,野外会場も含む。（2019年度：439件、2020年度：521件）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,電話番号,URL,客席数,収容人数,舞台形式,全体形式,客席形式,これまでの利用実績ジャンル,施設に適しているもしくは利用して欲しいジャンル,利用対象,利用条件を設定している場合の条件,利用可能時間帯
品川区,大崎１丁目,-,品川区大崎1-11-1　ｹﾞｰﾄｼﾃｨ大崎　B1F,35.619368,139.730809,ゲートシティ大崎〔ゲートシティホール・ルーム〕,03-5496-5311,http://www.gatecity.jp/hallandroom/,440,495,ｵｰﾌﾟﾝ形式,ｼｭｰﾎﾞｯｸｽ形式,ﾛｰﾙﾊﾞｯｸﾁｪｱ,"ポップス,お笑い・寄席・演劇,合唱,映像上映会（試写会など）,講演会,展示会","ポップス,クラシック,演歌・歌謡曲,ジャズ,お笑い・寄席・演劇,オペラ,合唱,映像上映会（試写会など）,講演会,展示会",一般に貸出している,,
品川区,大井６丁目,-,品川区大井6-11-1,35.596787,139.730102,品川歴史館〔講堂〕,03-3777-4060,http://www.city.shinagawa.tokyo.jp/jigyo/06/historyhp/hsindex.html,,, ,,,"日本の伝統音楽（邦楽等）,講演会","日本の伝統音楽（邦楽等）,講演会",,,
品川区,西品川１丁目,-,品川区西品川1-28-3,35.609258,139.727747,品川区中小企業センター〔レクリエーションホール〕,03-3787-3041,http://www.city.shinagawa.tokyo.jp/hp/menu000000100/hpg000000079.htm,,, ,,,,,,,
品川区,西五反田６丁目,-,品川区西五反田6-5-1,35.622538,139.716574,五反田文化センター〔音楽ホール〕,03-3492-2451,http://www.city.shinagawa.tokyo.jp/hp/menu000000400/hpg000000314.htm,250,250,ﾌﾟﾛｾﾆｱﾑ形式,ｼｭｰﾎﾞｯｸｽ形式,固定席,"ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,日本の伝統音楽（邦楽等）,世界の民族音楽,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会","クラシック,世界の民族音楽,お笑い・寄席・演劇,バレエ,合唱,講演会",一般に貸出している,,
品川区,上大崎４丁目,-,品川区上大崎4-6-9,35.630067,139.716356,十四世喜多六平太記念能楽堂,03-3491-8813,http://kita-noh.com/,385,385, ,,固定席,能・狂言,,一般への貸出はしていない,,
品川区,上大崎２丁目,-,品川区上大崎2-13-35 　ニューフジビルB1F,35.634310,139.717682,ＴＨＥ ＬＩＶＥ ＳＴＡＴＩＯＮ,03-3444-3464,http://www.livestation.co.jp/,,, ,,,,,,,
品川区,小山４丁目,-,品川区小山4-11-12,35.619156,139.701848,小山台会館〔大ホール〕,03-5721-6171,https://www.koyamadai50.jp/index.html,130,130,ｵｰﾌﾟﾝ形式,,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"ポップス,クラシック,演劇,日本の伝統音楽（邦楽等）,世界の民族音楽,合唱,映像上映会（試写会など）,講演会,展示会","クラシック,日本の伝統音楽（邦楽等）,合唱,映像上映会（試写会など）,講演会,展示会",利用条件の設定,<NULL>,
品川区,小山４丁目,-,品川区小山4-11-12,35.619156,139.701848,小山台会館〔中ホール〕,03-5721-6171,https://www.koyamadai50.jp/index.html,,50, ,ｼｭｰﾎﾞｯｸｽ形式,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"講演会,展示会,-","講演会,-",利用条件の設定,<NULL>,
品川区,広町２丁目,-,品川区広町2-1-18,35.608280,139.733357,積水ハウスミュージカルシアター　四季劇場〔夏〕,03-5776-6730,https://www.shiki.jp/theatres/gr/natsu/,,, ,,,,,,,
品川区,旗の台５丁目,-,品川区旗の台5-19-5,35.603768,139.700364,品川区立旗の台文化センター〔レクリエーションホール〕,03-3786-5191,http://www.city.shinagawa.tokyo.jp/hp/menu000000400/hpg000000314.htm,60,60, ,ｱﾘｰﾅ・平土間形式,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"ダンス・パフォーマンス,合唱,講習会","ダンス・パフォーマンス,合唱,講習会",一般に貸出している,,
品川区,旗の台１丁目,-,品川区旗の台１－５－８,35.608364,139.703623,昭和大学　上條講堂,03-3784-8024,URLはありません,716,716,ﾌﾟﾛｾﾆｱﾑ形式,ｼｭｰﾎﾞｯｸｽ形式,固定席,講演会,"講演会,各種イベント",一般に貸出している,,
品川区,荏原５丁目,-,品川区荏原5-6-5,35.614490,139.702168,品川区荏原区民センター〔レクリエーションホール〕,03-3788-7939,http://www.city.shinagawa.tokyo.jp/hp/menu000003000/hpg000002986.htm,,120, ,ｱﾘｰﾅ・平土間形式,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),多目的,多目的,一般に貸出している,,
品川区,荏原４丁目,-,品川区荏原4-5-28,35.615328,139.707628,品川区立荏原平塚総合区民会館　スクエア荏原 〔ひらつかホール〕,03-5788-5321,http://www.shinagawa-culture.or.jp/hp/menu000002900/hpg000002815.htm,368,368,ﾌﾟﾛｾﾆｱﾑ形式,ｼｭｰﾎﾞｯｸｽ形式,固定席,"ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会",一般に貸出している,,
中央区,有楽町２丁目,大丸有,中央区銀座西2-2 　銀座インズ2　2F,35.674824,139.764988,ジャズクラブ 銀座スウィング,03-3563-3757,http://ginzaswing.jp/,90,100,ﾌﾟﾛｾﾆｱﾑ形式,ｱﾘｰﾅ・平土間形式,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"ポップス,クラシック,ジャズ,世界の民族音楽,合唱,映像上映会（試写会など）,講演会","ポップス,クラシック,演歌・歌謡曲,ジャズ,日本の伝統音楽（邦楽等）,世界の民族音楽,合唱,映像上映会（試写会など）,講演会,展示会",一般に貸出している,,
中央区,八重洲１丁目,日八京,中央区八重洲1-9-8　ヤエスメッグビルB２F,35.680162,139.770413,東京建物八重洲ホール,03-3274-0941,http://www.tatemono.com/enterprise/build/hall/,108,108,ｵｰﾌﾟﾝ形式,ｼｭｰﾎﾞｯｸｽ形式,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"ポップス,クラシック,ジャズ,演劇,お笑い・寄席・演劇,合唱,-",,利用条件の設定,<NULL>,
中央区,日本橋本町３丁目,日八京,中央区日本橋本町3-1-6　日本橋永谷ビル1Ｆ,35.688188,139.774405,お江戸日本橋亭,03-3245-1278,http://ntgp.co.jp/engei/nihonbasi/index.html,,, ,,,,,,,
中央区,日本橋室町２丁目,日八京,中央区日本橋室町2-2-1　COREDO室町1 5F,35.686706,139.774203,日本橋三井ホール〔日本橋三井ホール〕,03-5200-3210,http://www.nihonbashi-hall.jp/,1000,1000,ｵｰﾌﾟﾝ形式,ｱﾘｰﾅ・平土間形式,"ﾛｰﾙﾊﾞｯｸﾁｪｱ,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ)","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,ダンス・パフォーマンス,映像上映会（試写会など）,講演会,展示会","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会",一般に貸出している,,
中央区,日本橋室町１丁目,日八京,中央区日本橋室町1-4-1　日本橋三越本店本館６階,35.685633,139.773430,三越劇場,0120-03-9354,http://mitsukoshi.mistore.jp/bunka/theater/index.html;jsessionid=HLxjWwZLN4L0nbS3h5Z3MhmDkyGLMypYqLfrmBFRGwBhn2DWvH40!-1361413285,514,514,ﾌﾟﾛｾﾆｱﾑ形式,,固定席,"ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会,-",一般に貸出している,,
中央区,日本橋３丁目,日八京,中央区日本橋3-2-17 　日伸ビルB1F,35.680715,139.771149,ＨＩＴ ＳＴＵＤＩＯ ＴＯＫＹＯ,03-5205-3800,http://big-echo.jp/hst/,,, ,,,,,,,
中央区,日本橋浜町２丁目,-,中央区日本橋浜町2-31-1,35.687831,139.787008,明治座,03-3660-3939,http://www.meijiza.co.jp/,1448,1448,ﾌﾟﾛｾﾆｱﾑ形式,ｼｭｰﾎﾞｯｸｽ形式,固定席,"ポップス,クラシック,演歌・歌謡曲,演劇,ミュージカル,歌舞伎,日本の伝統音楽（邦楽等）,お笑い・寄席・演劇,ダンス・パフォーマンス","ポップス,演歌・歌謡曲,演劇,歌舞伎",一般への貸出はしていない,,
中央区,日本橋人形町１丁目,-,中央区日本橋人形町1-1-17　8F,35.684697,139.781438,日本橋社会教育会館〔ホール〕,03-3669-2102,http://chuo-shakyo.shopro.co.jp/nihonbashi,,, ,,,"クラシック,日本の伝統音楽（邦楽等）,お笑い・寄席・演劇,ダンス・パフォーマンス,講演会,展示会","日本の伝統音楽（邦楽等）,お笑い・寄席・演劇,ダンス・パフォーマンス,講演会",,<NULL>,<NULL>
中央区,日本橋茅場町１丁目,-,中央区日本橋茅場町1-5-8,35.680609,139.779344,東京証券会館,03-3667-9210,http://www.ts-kaikan.co.jp/,342,342,ｵｰﾌﾟﾝ形式,ｼｭｰﾎﾞｯｸｽ形式,固定席,"演劇,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,講演会,-","日本の伝統音楽（邦楽等）,講演会,-",一般に貸出している,,
中央区,日本橋蛎殻町１丁目,-,中央区日本橋蛎殻町1-31-1,35.682478,139.784267,中央区立日本橋公会堂（日本橋劇場）〔ホール（日本橋劇場）〕,03-3666-4255,http://www.nihonbasikokaido.com/,424,440,ﾌﾟﾛｾﾆｱﾑ形式,ｼｭｰﾎﾞｯｸｽ形式,固定席,"クラシック,演歌・歌謡曲,演劇,ミュージカル,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,バレエ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会","演劇,歌舞伎,能・狂言,日本の伝統音楽（邦楽等）,お笑い・寄席・演劇,講演会",一般に貸出している,,
中央区,築地５丁目,-,中央区築地5-3-2　朝日新聞東京本社新館2F,35.664203,139.766605,浜離宮朝日ホール〔音楽ホール〕,03-5541-8710,http://www.asahi-hall.jp/hamarikyu/,552,552,ｵｰﾌﾟﾝ形式,ｼｭｰﾎﾞｯｸｽ形式,固定席,"ポップス,クラシック,演歌・歌謡曲,ジャズ,日本の伝統音楽（邦楽等）,世界の民族音楽,合唱,映像上映会（試写会など）,講演会",クラシック,一般に貸出している,,
中央区,築地５丁目,-,中央区築地5-3-2　朝日新聞東京本社新館2F,35.664203,139.766605,浜離宮朝日ホール 〔小ホール〕,03-5541-8710,http://www.asahi-hall.jp/hamarikyu/,398,398,ｵｰﾌﾟﾝ形式,ｱﾘｰﾅ・平土間形式,"ﾛｰﾙﾊﾞｯｸﾁｪｱ,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ)","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,合唱,映像上映会（試写会など）,講演会,展示会","お笑い・寄席・演劇,講演会",一般に貸出している,,
中央区,築地５丁目,-,中央区築地5-6-10　浜離宮パークサイドプレイス1Ｆ,35.662309,139.765654,ＢＬＵＥ ＭＯＯＤ,03-3549-6010,https://blue-mood.jp/,,, ,,,,,,,
中央区,築地３丁目,-,中央区築地3-15-1 築地本願寺内,35.666486,139.772284,ブディストホール,03-3248-0798,http://buddhisthall.com/index.htm,164,164,ﾌﾟﾛｾﾆｱﾑ形式,ｼｭｰﾎﾞｯｸｽ形式,固定席,"演劇,ミュージカル,お笑い・寄席・演劇","演劇,お笑い・寄席・演劇",利用条件の設定,<NULL>,
中央区,晴海５丁目,-,中央区晴海5-7-1 4Ｆ,35.646855,139.773386,晴海客船ターミナルホール〔晴海ターミナルホール〕,03-3536-8651,http://www.tptc.co.jp/terminal/guide/harumi/hall,600,600, ,,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"ポップス,演歌・歌謡曲,ダンス・パフォーマンス,映像上映会（試写会など）,講演会,展示会,-,-,-","ダンス・パフォーマンス,映像上映会（試写会など）,講演会,展示会,-,-,-",一般に貸出している,,
中央区,晴海１丁目,-,中央区晴海1-8-9,35.656874,139.781984,第一生命ホール,03-3532-3535,http://www.dai-ichi-seimei-hall.jp/,767,767,ﾌﾟﾛｾﾆｱﾑ形式,,固定席,"クラシック,日本の伝統音楽（邦楽等）,合唱,講演会","クラシック,合唱",一般に貸出している,,
中央区,月島４丁目,-,中央区月島4-1-1　4F,35.661900,139.781748,月島社会教育会館〔ホール〕,03-3531-6367 ,http://chuo-shakyo.shopro.co.jp/tsukishima,,, ,,,"演歌・歌謡曲,日本の伝統音楽（邦楽等）,お笑い・寄席・演劇,ダンス・パフォーマンス,合唱,講演会","お笑い・寄席・演劇,講演会",,<NULL>,<NULL>
中央区,銀座８丁目,-,中央区銀座8-8-11,35.667884,139.760957,博品館劇場,03-3571-1003,http://theater.hakuhinkan.co.jp/,,,ﾌﾟﾛｾﾆｱﾑ形式,,固定席,"ポップス,演歌・歌謡曲,ジャズ,演劇,ミュージカル,お笑い・寄席・演劇,バレエ,ダンス・パフォーマンス,映像上映会（試写会など）,講演会","ポップス,ジャズ,演劇,ミュージカル,お笑い・寄席・演劇,ダンス・パフォーマンス",,,
中央区,銀座８丁目,-,中央区銀座8-2-1 　ニッタビル9F,35.670014,139.759740,銀座ケントス,03-3572-9161,http://www.kentos-tokyo.jp/ginza/,,, ,,,,,,,
中央区,銀座８丁目,-,中央区銀座8-3-11 　和恒ビルＢ1Ｆ,35.669025,139.759163,月夜の仔猫/３６５１,03-3573-3651,http://www.asumi.com/,38,50, ,,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"ポップス,クラシック,演歌・歌謡曲,ジャズ,ミュージカル,オペラ,ダンス・パフォーマンス,映像上映会（試写会など）,手品,-,-","ポップス,クラシック,演歌・歌謡曲,ジャズ,ミュージカル,日本の伝統音楽（邦楽等）,お笑い・寄席・演劇,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,手品",一般に貸出している,,
中央区,銀座７丁目,-,中央区銀座7-5-4 　毛利ビル7F,35.670224,139.761651,GINZA Lounge ZERO,03-6274-6631,http://ginza-zero.jp/,,, ,,,,,,,
中央区,銀座７丁目,-,中央区銀座7-9-14,35.668592,139.762679,ヤマハホール,03-3572-3139,https://www.yamahaginza.com/hall/,333,333,"ｵｰﾌﾟﾝ形式,エンドステージ形式","ｼｭｰﾎﾞｯｸｽ形式,ｱﾘｰﾅ・平土間形式",固定席,"ポップス,クラシック,演歌・歌謡曲,ジャズ,ミュージカル,日本の伝統音楽（邦楽等）,世界の民族音楽,オペラ,合唱,発表会","クラシック,ジャズ,日本の伝統音楽（邦楽等）,世界の民族音楽,オペラ,合唱,アコースティック音楽",一般に貸出している,,
中央区,銀座７丁目,-,中央区銀座7-8-19 　東京ビル3F,35.669385,139.762568,RockyTop,Fax共通03-3571-1769,http://www.liverocky.com/index.html,,53,よくわからない。,よくわからない。,よくわからない。,"ポップス,演歌・歌謡曲,ジャズ,世界の民族音楽,ブルーグラス,カントリー,ロック、フォーク","ポップス,ジャズ,世界の民族音楽,ブルーグラス,カントリー,ウェストコーストロック（ジプシージャズ）",一般に貸出している,,
中央区,銀座７丁目,-,中央区銀座7-9-14　ヤマハ銀座ビルＢ2F,35.668592,139.762679,ヤマハ銀座スタジオ,03-3572-3139,https://www.yamahaginza.com/studio/,112,200,"ｵｰﾌﾟﾝ形式,エンドステージ形式、昇降ステージ","ｱﾘｰﾅ・平土間形式,、ボックス・イン・ボックス",可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"ポップス,クラシック,演歌・歌謡曲,ジャズ,日本の伝統音楽（邦楽等）,世界の民族音楽,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会,発表会,収録・撮影","ポップス,クラシック,演歌・歌謡曲,ジャズ,日本の伝統音楽（邦楽等）,世界の民族音楽,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会,発表会,収録・撮影",一般に貸出している,,
中央区,銀座７丁目,-,中央区銀座7-2先 　コリドー街２F,35.670731,139.759796,シャンソニエ蛙たち,03-3571-4417,http://www.kaerutachi.jp/,75,78, ,,,"ポップス,クラシック,演劇,ミュージカル,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会",一般に貸出している,,
中央区,銀座６丁目,-,中央区銀座6-18-2,35.666904,139.766968,新橋演舞場,03-3541-2600,http://www.shinbashi-enbujo.co.jp/,,, ,,,,,,,
中央区,銀座６丁目,-,中央区銀座6-3-16　泰明ビル4Ｆ,35.671607,139.761141,Ｍｉｉｙａ Ｃａｆｅ,03-3571-5402,http://www.miiya-cafe.com/,,, ,,,,,,,
中央区,銀座６丁目,-,中央区銀座6-10-1 GINZA SIX 13F,35.669591,139.764069,ザ・グラン銀座・多目的ホール,03-6280-6780,http://www.grandginza.com/,140,140, ,,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ),"クラシック,ジャズ,日本の伝統音楽（邦楽等）,オペラ,講演会,展示会","クラシック,ジャズ,日本の伝統音楽（邦楽等）,お笑い・寄席・演劇,オペラ,合唱,映像上映会（試写会など）,講演会,展示会",一般に貸出している,,
中央区,銀座６丁目,-,中央区銀座6-9-15　タクトワンビルＢ1F,35.669959,139.763135,銀座タクト,03-3571-3939,http://ginzatact.com,80,150, ,,,"ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,日本の伝統音楽（邦楽等）,世界の民族音楽,お笑い・寄席・演劇,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会","歌舞伎,能・狂言,バレエ,オペラ,展示会",一般に貸出している,,
中央区,銀座５丁目,-,中央区銀座5-15-8,35.668104,139.767257,時事通信ホール,03-3546-6606,http://www.jiji.com/hall/,,, ,,,,,,,
中央区,銀座４丁目,-,中央区銀座4-12-15,35.669643,139.768074,歌舞伎座,03-3545-6800,http://www.kabuki-za.co.jp/,,, ,,,,,,,
中央区,銀座４丁目,-,中央区銀座4-7-5,35.671272,139.766488,王子ホール,03-3564-0200,https://www.ojihall.jp/,315,315,ｵｰﾌﾟﾝ形式,ｼｭｰﾎﾞｯｸｽ形式,固定席,"ポップス,クラシック,ジャズ,能・狂言,日本の伝統音楽（邦楽等）,世界の民族音楽,オペラ,ダンス・パフォーマンス,合唱","ポップス,クラシック,ジャズ,日本の伝統音楽（邦楽等）,世界の民族音楽",一般に貸出している,,
中央区,銀座２丁目,-,中央区銀座2-15-6,35.671249,139.771189,中央区中央会館（銀座ブロッサム）〔ホール〕,03-3542-8585,http://ginza-blossom.jp/hall/,,, ,,,,,,,
中央区,銀座２丁目,-,中央区銀座2-2-18　TH銀座ビル10F,35.674751,139.765705,Ginza SOLA,03-6264-4971,http://ginza-sola.com/,61,61,ｵｰﾌﾟﾝ形式,ｱﾘｰﾅ・平土間形式,可動席(ｽﾀｯｷﾝｸﾞﾁｪｱ)、レザーチェア,"ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,日本の伝統音楽（邦楽等）,お笑い・寄席・演劇,オペラ,ダンス・パフォーマンス,合唱,講演会,展示会","ポップス,クラシック,演歌・歌謡曲,ジャズ,演劇,ミュージカル,日本の伝統音楽（邦楽等）,お笑い・寄席・演劇,オペラ,ダンス・パフォーマンス,合唱,映像上映会（試写会など）,講演会,展示会",一般に貸出している,,
中央区,銀座１丁目,-,中央区銀座1-25-3,35.673305,139.771551,京橋プラザ区民館〔多目的ホール〕,03-3561-5163,http://chuo7kuminkan.com/about/kyobashi-p.html,,, ,,,,,,,
