指標名,世界トップ企業,,,,,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,,,,,
年次,2019年,,,,,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000/list/#country:Japan、https://fortune.com/global500/2019/search/,,,,,,,,,,,,,,,,,,,
備考,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Forbes,,,,,Fortune,,,,,,
区,町丁,エリア,住所,緯度,経度,企業名,企業名（英語）,ランキング名,Rank,Sales,Profits,Assets,Market Value,Revenues ($M),Profits ($M),Assets ($M),Revenue Percent Change,Profits Percent Change,Employees,Change in Rank
港区,赤坂２丁目,赤坂,東京都港区赤坂二丁目3番6号,35.670897,139.742109,株式会社 小松製作所,Komatsu,Forbes,#394,$24.6 B,$2 B,$32 B,$23.7 B,,,,,,,
港区,赤坂８丁目,赤坂,東京都港区赤坂八丁目5番27号,35.671428,139.7272365,日鉄物産株式会社,Nippon Steel Trading,Forbes,#1675,$22.1 B,$210 M,$9 B,$1.3 B,,,,,,,
港区,芝５丁目,-,東京都港区芝5-37-8 バンダイナムコ未来研究所,35.644509,139.7445795,株式会社バンダイナムコホールディングス,Bandai Namco Holdings,Forbes,#1488,$6.6 B,$604 M,$5.2 B,$9.6 B,,,,,,,
港区,港南１丁目,-,東京都港区港南1-7-1,35.631045,139.743855,ソニー株式会社,Sony,Forbes,#73,$76.9 B,$7.3 B,$190.7 B,$60.1 B,,,,,,,
港区,港南２丁目,-,東京都港区港南二丁目3番13号,35.629056,139.7443185,豊田通商株式会社,Toyota Tsusho,Forbes,#495,$61 B,$1.1 B,$40.2 B,$11.6 B,,,,,,,
港区,港南２丁目,-,東京都港区港南二丁目16番1号,35.627886,139.740705,大東建託株式会社,Daito Trust Construction,Forbes,#1051,$14.2 B,$764 M,$7.5 B,$10.2 B,,,,,,,
港区,芝浦３丁目,-,東京都港区芝浦三丁目1番21号,35.645265,139.749651,三菱自動車工業株式会社,Mitsubishi,Forbes,#108,$127.4 B,$5.3 B,$153.2 B,$42.5 B,,,,,,,
港区,芝浦３丁目,-,東京都港区芝浦三丁目1番21号,35.645265,139.749651,三菱自動車工業株式会社,Mitsubishi Motors,Forbes,#830,$22.4 B,$966 M,$17.1 B,$8.6 B,,,,,,,
港区,高輪４丁目,-,東京都港区高輪四丁目8番3号,35.629146,139.7336895,株式会社小糸製作所,Koito Manufacturing,Forbes,#1300,$7.4 B,$787 M,$6.5 B,$9.8 B,,,,,,,
港区,海岸１丁目,-,東京都港区海岸1-5-20,35.653401,139.757814,東京ガス株式会社,Tokyo Gas,Forbes,#844,$17 B,$555 M,$22.1 B,$11.2 B,,,,,,,
港区,港南２丁目,-,東京都港区港南2丁目15番2号 ,35.626815,139.7419155,株式会社大林組,Obayashi,Forbes,#916,$18.2 B,$870 M,$20.2 B,$6.9 B,,,,,,,
港区,三田３丁目,-,東京都港区三田3-5-27住友不動産三田ツインビル西館,35.644239,139.742514,ユニ・チャーム株式会社,Unicharm,Forbes,#1268,$6.2 B,$556 M,$7.3 B,$19.4 B,,,,,,,
港区,芝浦１丁目,-,東京都港区芝浦1-1-1,35.650926,139.757346,株式会社 東芝,Toshiba,Forbes,#329,$34.4 B,$7.8 B,$39.4 B,$17.3 B,,,,,,,
港区,芝５丁目,-,東京都港区芝五丁目7番1号,35.649396,139.7479185,日本電気株式会社,NEC,Forbes,#1023,$26.3 B,$325 M,$25.2 B,$8.7 B,,,,,,,
渋谷区,神宮前１丁目,-,東京都渋谷区神宮前1丁目５番１号,35.671203,139.7070585,セコム株式会社,Secom,Forbes,#855,$9.1 B,$846 M,$15.9 B,$17.9 B,,,,,,,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-21-1　渋谷ソラスタ,35.656587,139.6968975,東急不動産ホールディングス株式会社,Tokyu Fudosan,Forbes,#1744,$7.6 B,$271 M,$21.3 B,$4 B,,,,,,,
渋谷区,南平台町,-,東京都渋谷区南平台町5-6,35.654886,139.697811,東急株式会社,Tokyu,Forbes,#1057,$10.4 B,$493 M,$21.6 B,$9.5 B,,,,,,,
渋谷区,幡ケ谷２丁目,-,東京都渋谷区幡ヶ谷2-44-1,35.679024,139.6753515,テルモ株式会社,Terumo,Forbes,#1193,$5.3 B,$824 M,$10.3 B,$21.1 B,,,,,,,
渋谷区,恵比寿１丁目,-,東京都渋谷区恵比寿1-20-8 エビススバルビル,35.646804,139.713336,株式会社SUBARU,Subaru,Forbes,#466,$29.1 B,$1.7 B,$26.2 B,$19.6 B,,,,,,,
渋谷区,代々木２丁目,-,東京都渋谷区代々木二丁目2番2号,35.687376,139.700034,東日本旅客鉄道株式会社,East Japan Railway,Forbes,#250,$27.1 B,$2.7 B,$74 B,$34.7 B,,,,,,,
新宿区,新宿５丁目,-,東京都新宿区新宿5-16-10,35.693118,139.7066085,株式会社三越伊勢丹ホールディングス,Isetan Mitsukoshi Holdings,Forbes,#1931,$11 B,$17 M,$12 B,$3.6 B,,,,,,,
新宿区,西新宿１丁目,-,東京都新宿区西新宿1-26-1,35.692722,139.696029,ＳＯＭＰＯホールディングス株式会社,Sompo,Forbes,#403,$31.5 B,$1.1 B,$109.1 B,$14.2 B,,,,,,,
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-10-1 日土地西新宿ビル 20F,35.694549,139.690944,HOYA株式会社,Hoya,Forbes,#1102,$5.1 B,$1 B,$6.6 B,$25.2 B,,,,,,,
新宿区,西新宿２丁目,-,東京都新宿区西新宿2-3-1 新宿モノリス,35.688609,139.6946205,オリンパス株式会社,Olympus,Forbes,#1597,$7.2 B,$141 M,$8.4 B,$14.2 B,,,,,,,
新宿区,市谷加賀町１丁目,-,東京都新宿区市谷加賀町一丁目1番1号,35.69562,139.7310165,大日本印刷株式会社,Dai Nippon Printing,Forbes,#1251,$12.7 B,$508 M,$15.8 B,$7.1 B,,,,,,,
新宿区,新宿５丁目,-,東京都新宿区新宿五丁目9番2号,35.692029,139.7087235,株式会社東京きらぼしフィナンシャルグループ,Tokyo Kiraboshi Financial Group,Forbes,#1778,$698 M,$15 M,$49.3 B,$445 M,,,,,,,
新宿区,西新宿２丁目,-,東京都新宿区西新宿二丁目4番1号,35.688051,139.6934415,住友不動産株式会社,Sumitomo Realty,Forbes,#635,$9.1 B,$1 B,$45.5 B,$17.3 B,,,,,,,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-9-2 大手町フィナンシャルシティ グランキューブ,35.68878,139.764564,株式会社野村総合研究所,Nomura Research Institute,Forbes,#1926,$4.5 B,$450 M,$5.3 B,$10.9 B,,,,,,,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町一丁目1番3号,35.685954,139.762746,アルフレッサ ホールディングス株式会社,Alfresa Holdings,Forbes,#1408,$23.8 B,$410 M,$12.6 B,$5.5 B,,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-2-1,35.683128,139.7632545,東京海上ホールディングス株式会社,Tokio Marine Holdings,Forbes,#163,$47.7 B,$3.1 B,$212.1 B,$35.8 B,,,,,,,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内二丁目3番2号　郵船ビル,35.681499,139.762719,日本郵船株式会社,Nippon Yusen,Forbes,#1398,$17.5 B,$-48 M,$18.5 B,$2.7 B,,,,,,,
千代田区,内幸町１丁目,-,東京都千代田区内幸町1-1-1 帝国ホテルタワー 18階,35.672256,139.7583495,ナショナル・コンピュータ・システムズ・ジャパン株式会社,Pearson,Forbes,#1549,$5.5 B,$784 M,$10.1 B,$8.6 B,,,,,,,
千代田区,内幸町２丁目,-,東京都千代田区内幸町2丁目2番3号,35.670312,139.754313,ＪＦＥ（ジェイ エフ イー）ホールディングス株式会社,JFE Holdings,Forbes,#531,$35.7 B,$1.4 B,$41.8 B,$10.1 B,,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-5-1,35.682714,139.764249,三菱ＵＦＪリース株式会社,Mitsubishi UFJ Lease,Forbes,#1059,$7.8 B,$626 M,$52 B,$4.6 B,,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-9-2,35.678601,139.7673945,株式会社リクルートホールディングス,Recruit Holdings,Forbes,#527,$20.7 B,$1.5 B,$15.1 B,$47.1 B,,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目9番1号,35.681427,139.7689425,大和証券株式会社,Daiwa Securities,Forbes,#846,$6.7 B,$788 M,$195.3 B,$7.6 B,,,,,,,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町一丁目5番1号 大手町ファーストスクエア イーストタワー,35.685594,139.7637945,NTT（日本電信電話株式会社）,Nippon Telegraph & Tel,Forbes,#51,$107.5 B,$8.7 B,$199.6 B,$80.2 B,,,,,,,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1-1-1　大手町パークビル,35.686755,139.7625615,三菱地所株式会社,Mitsubishi Estate,Forbes,#508,$11.6 B,$1.2 B,$53.4 B,$22.8 B,,,,,,,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町1–5–5,35.685441,139.7653695,株式会社みずほフィナンシャルグループ ,Mizuho Financial,Forbes,#125,$33.1 B,$4.6 B,"$1,837.8 B",$39.8 B,,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-1-1,35.684667,139.7615355,三菱ケミカル株式会社,Mitsubishi Chemical,Forbes,#475,$35.3 B,$1.9 B,$51.2 B,$10.1 B,,,,,,,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-7-3,35.678574,139.7649105,三菱電機株式会社,Mitsubishi Electric,Forbes,#325,$41.5 B,$2.2 B,$37.8 B,$29.1 B,,,,,,,
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内三丁目1番1号,35.676972,139.761324,出光興産株式会社,Idemitsu Kosan,Forbes,#638,$39.9 B,$1.1 B,$27.9 B,$9.2 B,,,,,,,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内2-5-2,35.679924,139.763601,三菱ガス化学株式会社,"Mitsubishi Gas Chemical Company,",Forbes,#1986,$6 B,$605 M,$7.3 B,$3.1 B,,,,,,,
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内三丁目2番3号,35.677989,139.761909,三菱重工業株式会社,Mitsubishi Heavy Industries,Forbes,#534,$37.7 B,$734 M,$48 B,$13.9 B,,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目5番1号,35.682714,139.764249,AGC株式会社,AGC,Forbes,#952,$13.8 B,$811 M,$20.4 B,$7.5 B,,,,,,,
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町1-13-1,35.675802,139.760982,第一生命保険株式会社,Dai-ichi Life Insurance,Forbes,#221,$59.1 B,$2.9 B,$509.4 B,$16.9 B,,,,,,,
千代田区,内幸町１丁目,-,東京都千代田区内幸町1丁目1番3号,35.670078,139.7586555,東京電力ホールディングス株式会社,Tokyo Electric Power,Forbes,#414,$56.1 B,$1.7 B,$113.9 B,$8.9 B,,,,,,,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町一丁目3番1号,35.688663,139.7628045,三井物産株式会社,Mitsui,Forbes,#196,$56.6 B,$3.5 B,$107.8 B,$27.7 B,,,,,,,
千代田区,内幸町２丁目,-,東京都千代田区内幸町2-1-1,35.670942,139.752729,双日株式会社,Sojitz,Forbes,#1066,$17 B,$596 M,$21.2 B,$4.3 B,,,,,,,
千代田区,大手町２丁目,大丸有,東京都千代田区大手町二丁目3番1号,35.686881,139.7669355,日本郵政,Japan Post Holdings,Forbes,#66,$115.6 B,$4.3 B,"$2,619.7 B",$44.5 B,,,,,,,
千代田区,外神田４丁目,-,東京都千代田区外神田4-14-1,35.700516,139.7726145,SMC 株式会社,SMC,Forbes,#986,$5.4 B,$1.2 B,$12.4 B,$27.5 B,,,,,,,
千代田区,神田練塀町,-,東京都千代田区神田練塀町3,35.700372,139.7740635,東京センチュリー株式会社,Tokyo Century,Forbes,#1154,$9.5 B,$510 M,$36.4 B,$4.8 B,,,,,,,
千代田区,神田司町,-,東京都千代田区神田司町2-9,35.693586,139.767147,大塚ホールディングス株式会社,Otsuka Holding,Forbes,#735,$11.7 B,$747 M,$22.6 B,$19 B,,,,,,,
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台4-6,35.698671,139.7664315,日本製紙株式会社,Nippon Paper Industries,Forbes,#1982,$9.6 B,$-351 M,$12.8 B,$2.3 B,,,,,,,
千代田区,三崎町３丁目,-,東京都千代田区神田三崎町三丁目3番23号 ,35.700291,139.7523825,芙蓉総合リース株式会社 ,Fuyo General Lease,Forbes,#1999,$5.6 B,$209 M,$23.2 B,$1.5 B,,,,,,,
千代田区,二番町,-,東京都千代田区二番町8番地8,35.685756,139.7340675,株式会社セブン＆アイ・ホールディングス,Seven & I Holdings,Forbes,#278,$61.5 B,$1.8 B,$52.1 B,$30.3 B,,,,,,,
千代田区,麹町５丁目,-,東京都千代田区麹町5丁目2番地1,35.684451,139.7348145,株式会社オリエントコーポレーション,Orient,Forbes,#1773,$2.1 B,$298 M,$49.4 B,$1.8 B,,,,,,,
千代田区,麹町６丁目,-,東京都千代田区麹町6-1-1,35.68464,139.7326005,株式会社あおぞら銀行,Aozora Bank,Forbes,#1766,$1.4 B,$355 M,$46 B,$2.9 B,,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目6番6号,35.6832,139.7657475,株式会社 日立製作所,Hitachi,Forbes,#230,$85.8 B,$1.7 B,$88.4 B,$31.8 B,,,,,,,
千代田区,丸の内２丁目,大丸有,東京都 千代田区 丸の内 2-6-1,35.678763,139.763016,日本製鉄株式会社,Nippon Steel,Forbes,#308,$54.5 B,$2.5 B,$70.3 B,$16.2 B,,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-4-1,35.684397,139.764825,三井住友トラスト・ホールディングス株式会社,Sumitomo Mitsui Trust,Forbes,#432,$13 B,$1.5 B,$520.2 B,$13.5 B,,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目1番2号,35.684982,139.7625255,三井住友フィナンシャルグループ,Sumitomo Mitsui Financial,Forbes,#67,$52.5 B,$6.6 B,"$1,841.1 B",$50.9 B,,,,,,,
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内一丁目1番2号,35.684982,139.7625255,株式会社三井住友銀行,Sumitomo,Forbes,#291,$46.9 B,$2.7 B,$72.7 B,$17.9 B,,,,,,,
千代田区,丸の内３丁目,大丸有,東京都千代田区丸の内三丁目2番3号,35.677989,139.761909,三菱マテリアル株式会社,Mitsubishi Materials,Forbes,#1457,$15.6 B,$33 M,$17.8 B,$3.6 B,,,,,,,
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内二丁目7番1号,35.678646,139.7643525,三菱UFJフィナンシャル・グループ,Mitsubishi UFJ Financial,Forbes,#43,$53.7 B,$9 B,"$2,799.9 B",$65 B,,,,,,,
千代田区,大手町１丁目,大丸有,東京都千代田区大手町一丁目1番2号,35.686071,139.762098,ＪＸＴＧホールディングス株式会社,JXTG Holdings,Forbes,#257,$101.8 B,$3.4 B,$80.9 B,$16.6 B,,,,,,,
千代田区,大手町２丁目,大丸有,東京都千代田区大手町二丁目6番1号,35.684505,139.768785,信越化学工業株式会社,Shin-Etsu Chemical,Forbes,#406,$14.4 B,$3 B,$27.8 B,$40.1 B,,,,,,,
千代田区,飯田橋３丁目,-,東京都千代田区飯田橋3丁目10番10号,35.700363,139.750533,KDDI株式会社 ,KDDI,Forbes,#170,$45.8 B,$5.3 B,$65.2 B,$52.5 B,,,,,,,
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町一丁目1番2号,35.673552,139.7590335,旭化成株式会社,Asahi Kasei,Forbes,#603,$19.4 B,$1.3 B,$23.7 B,$14.1 B,,,,,,,
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-7-1,35.681913,139.774275,株式会社T&Dホールディングス,T&D Holdings,Forbes,#703,$17.6 B,$731 M,$141.6 B,$6.8 B,,,,,,,
中央区,日本橋２丁目,日八京,東京都中央区日本橋2丁目7番1号,35.681913,139.774275,株式会社　コンコルディア・フィナンシャルグループ,Concordia Financial Group,Forbes,#1223,$2.8 B,$567 M,$168.8 B,$4.8 B,,,,,,,
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目7番1号　東京日本橋タワー,35.681913,139.774275,丸紅株式会社,Marubeni,Forbes,#350,$67.8 B,$2.4 B,$63.8 B,$12.3 B,,,,,,,
中央区,日本橋１丁目,日八京,東京都中央区日本橋1-9-1,35.683731,139.775616,野村證券株式会社,Nomura,Forbes,#714,$16.7 B,$-712 M,$411.2 B,$13 B,,,,,,,
中央区,日本橋兜町,-,東京都中央区日本橋兜町2-1,35.682678,139.7788335,株式会社日本取引所グループ,Japan Exchange Group,Forbes,#1064,$1.1 B,$468 M,$501.4 B,$8.8 B,,,,,,,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-4-3 日本橋室町野村ビル,35.687403,139.7739195,株式会社新生銀行,Shinsei Bank,Forbes,#1325,$2.6 B,$520 M,$86.9 B,$3.4 B,,,,,,,
中央区,日本橋本町３丁目,日八京,東京都中央区日本橋本町三丁目5番1号,35.688312,139.7750805,第一三共株式会社,Daiichi Sankyo,Forbes,#862,$8.4 B,$602 M,$17.3 B,$28.7 B,,,,,,,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2-1-1,35.686935,139.7730555,東レ株式会社,Toray Industries,Forbes,#680,$21.4 B,$902 M,$25.3 B,$11.3 B,,,,,,,
中央区,京橋２丁目,日八京,東京都中央区京橋ニ丁目4番16号,35.67667548,139.7713266,明治ホールディングス株式会社,Meiji Holdings,Forbes,#1126,$11.4 B,$656 M,$9.3 B,$11.3 B,,,,,,,
中央区,新川２丁目,-,東京都中央区新川2丁目27番2号 東京住友ツインビルディング西館,35.674245,139.78431,MS&ADインシュアランス グループ ホールディングス株式会社,MS&AD Insurance,Forbes,#263,$46.2 B,$2.1 B,$206.6 B,$18 B,,,,,,,
中央区,銀座４丁目,-,東京都中央区銀座4丁目7番5号,35.671284,139.76649,王子ホールディングス株式会社,Oji Holdings,Forbes,#1368,$14.1 B,$410 M,$18.1 B,$5.9 B,,,,,,,
中央区,銀座７丁目,-,東京都中央区銀座7-5-5,35.669916,139.761378,株式会社　資生堂,Shiseido,Forbes,#997,$9.9 B,$556 M,$9.2 B,$29.7 B,,,,,,,
中央区,銀座２丁目,-,東京都中央区銀座2-16-10,35.670672,139.7705085,ヤマトホールディングス株式会社,Yamato Holdings,Forbes,#1346,$14.7 B,$398 M,$11.1 B,$9.5 B,,,,,,,
中央区,新川２丁目,-,東京都中央区新川2丁目27番1号 東京住友ツインビル（東館）,35.673615,139.7844675,住友化学株式会社,Sumitomo Chemical,Forbes,#719,$19.8 B,$1.2 B,$29.8 B,$8 B,,,,,,,
中央区,京橋１丁目,日八京,東京都中央区京橋一丁目15番1号,35.677071,139.773357,味の素株式会社,Ajinomoto,Forbes,#1596,$10.3 B,$255 M,$12.7 B,$8.4 B,,,,,,,
中央区,京橋３丁目,日八京,東京都中央区京橋三丁目1番1号 ,35.676072,139.7687625,"	株式会社ブリヂストン",Bridgestone,Forbes,#326,$33.1 B,$2.6 B,$35.2 B,$29.8 B,,,,,,,
中央区,京橋２丁目,日八京,東京都中央区京橋二丁目16番1号,35.67654,139.7730915,清水建設株式会社,Shimizu,Forbes,#1085,$14.7 B,$766 M,$16 B,$6.5 B,,,,,,,
中央区,築地１丁目,-,東京都中央区築地1-13-1 銀座松竹スクエア,35.668251,139.769424,阪和興業株式会社,Hanwa,Forbes,#1729,$18.5 B,$153 M,$8.7 B,$1.2 B,,,,,,,
中央区,八重洲２丁目,日八京,東京都中央区八重洲二丁目7番15号,35.677206,139.7682045,株式会社メディパルホールディングス,Medipal Holdings,Forbes,#1378,$28.8 B,$311 M,$15.4 B,$4.9 B,,,,,,,
中央区,銀座６丁目,-,東京都中央区銀座六丁目15番1号,35.668188,139.766211,電源開発株式会社,Electric Power Development,Forbes,#1351,$8 B,$494 M,$25.5 B,$4.2 B,,,,,,,
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町一丁目14番10号,35.680401,139.7811645,花王株式会社,Kao,Forbes,#645,$13.7 B,$1.4 B,$13.3 B,$36.2 B,,,,,,,
中央区,日本橋茅場町１丁目,-,東京都中央区日本橋茅場町一丁目2番18号,35.681742,139.779342,株式会社　証券ジャパン,"Securities Japan, Inc.",Forbes,#1823,$233 M,$34 M,$44.6 B,$481 M,,,,,,,
中央区,日本橋室町２丁目,日八京,東京都中央区日本橋室町2丁目1番1号,35.686935,139.7730555,三井不動産株式会社,Mitsui Fudosan,Forbes,#375,$17.1 B,$1.7 B,$60.4 B,$22.7 B,,,,,,,
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目5番1号,35.681337,139.7738295,TDK株式会社,TDK,Forbes,#899,$12.5 B,$676 M,$18.4 B,$11.1 B,,,,,,,
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町2-5-1,35.687259,139.776111,アステラス製薬株式会社,Astellas Pharma,Forbes,#602,$11.8 B,$1.9 B,$17.6 B,$26 B,,,,,,,
中央区,日本橋本町２丁目,日八京,東京都中央区日本橋本町二丁目1番1号,35.68761,139.774536,武田薬品工業株式会社,Takeda Pharmaceutical,Forbes,#377,$16.1 B,$1 B,$52.6 B,$56.6 B,,,,,,,
