指標名,ミシュラン掲載レストラン,,,,,,,★★★,三つ星:そのために旅行する価値のある卓越した料理,,,,,,,,,
出典,ミシュランガイド東京 2022,,,,,,,★★,二つ星:遠回りしてでも訪れる価値のある素晴らしい料理,,,,,,,,,
年次,2022年,,,,,,,★,一つ星:近くに訪れたら行く価値のある優れた料理,,,,,,,,,
URL,https://clubmichelin.jp/search/restaurant/?rg=1,,,,,,,ビブグルマン,価格以上の満足感が得られる料理,,,,,,,,,
備考,（2019年：318件、2020年：322件、2021年度：318件）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,店舗名,カテゴリ,星数,定休日,価格帯,新規掲載,個室あり,駐車場,ベジタリアンメニュー,車椅子対応,要予約,URL,TEL
中央区,銀座２丁目,-,東京都中央区銀座 2-8-17 ハビウル銀座Ⅱ B1F,35.672774,139.767808,銀座 しのはら,日本料理,★★,"月曜の昼, 水曜の昼, 金曜の昼, 日曜","昼＝33,000円　夜＝33,000円",-,-,-,-,-,〇,-,050-5487-7638
港区,北青山２丁目,-,東京都港区北青山 2-12-35,35.67029,139.714496,リストランテ ホンダ,イタリア料理,★,月曜,"昼＝6,500-14,000円　夜＝14,000-19,000円",-,-,-,-,-,〇,http://www.ristorantehonda.jp,050-5487-3093
港区,南麻布２丁目,-,東京都港区南麻布 2-5-21,35.650023,139.737106,タストゥー,フランス料理,ビブグルマン,"月曜～水曜の昼, 日曜","昼＝4,500-6,500円　夜＝6,000-8,000円",-,-,-,-,-,〇,http://tastous.jp/,050-5486-9099
港区,虎ノ門５丁目,虎ノ門,東京都港区虎ノ門 5-2-8 サクシード虎ノ門 B1F,35.66265,139.744505,おかもと,日本料理,★,不定休,"昼＝6,500-55,000円　夜＝28,000-55,000円",-,〇,-,-,-,〇,-,050-5487-8293
港区,西新橋１丁目,虎ノ門,東京都港区西新橋 1-23-7,35.668225,139.751582,新ばし 笹田,日本料理,★,"月曜～土曜の昼, 日曜","夜＝22,000円",-,〇,-,-,-,〇,-,050-5488-5914
渋谷区,恵比寿南１丁目,-,東京都渋谷区恵比寿南 1-17-17 Time Zone テラスビル 4F,35.644757,139.710412,匠 鮨 おわな,寿司,★,"月曜, 火曜の昼, 木曜の昼, 日曜の昼","昼＝9,000-22,000円　夜＝22,000円",-,〇,-,-,-,〇,-,050-5487-9927
新宿区,荒木町,-,東京都新宿区荒木町 16,35.691527,139.724425,曙橋 かず,日本料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝5,500-8,000円",-,-,-,-,-,〇,https://www.akebonobashikazu.com/,050-5494-3171
渋谷区,上原１丁目,-,東京都渋谷区上原 1-29-5 BIT代々木上原 B1F,35.668353,139.679958,コンチェルト,イタリア料理,ビブグルマン,不定休,"昼＝3,500-6,000円　夜＝5,000-7,000円",-,-,-,-,-,〇,https://uehara-concerto.com/,050-5487-0954
新宿区,神楽坂３丁目,-,東京都新宿区神楽坂 3-6,35.700965,139.740137,エスタシオン,スペイン料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝6,000-8,000円",-,-,-,-,-,〇,-,050-5487-1349
江東区,亀戸１丁目,-,東京都江東区亀戸 1-31-7,35.694709,139.825678,リンシエメ,ピッツァ,ビブグルマン,月曜,"昼＝2,000-5,000円　夜＝2,000-5,000円",-,-,-,-,-,〇,https://www.linsieme2016.com/,050-5488-2709
新宿区,荒木町,-,東京都新宿区荒木町 6-39 Garden Tree 2F,35.689241,139.722606,遊猿,中国料理,ビブグルマン,"土曜の昼, 日曜","昼＝1,500円　夜＝6,000-8,000円",-,-,-,-,-,-,https://www.you-en.jp/,050-5486-9900
渋谷区,渋谷２丁目,-,東京都渋谷区渋谷 2-2-2 青山ルカビル B1F,35.660744,139.708519,ラチュレ,フランス料理,★,日曜,"昼＝6,000-8,500円　夜＝14,000-18,000円",-,-,-,-,-,〇,https://www.lature.jp/,050-5494-5693
港区,南麻布１丁目,-,東京都港区南麻布 1-5-4 NKCビルディング 2F,35.65244,139.734717,モワルーズ,フランス料理,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝5,000-9,500円",-,〇,-,-,-,〇,http://moelleuse.com/,050-5486-8306
中央区,築地１丁目,-,東京都中央区築地 1-12-16,35.668442,139.770072,つきじ 文化人,蕎麦,ビブグルマン,日曜,"昼＝1,000-3,000円　夜＝1,000-5,000円",-,-,-,-,-,-,https://www.bizserver1.com/bunkajin/,050-5488-5681
中央区,銀座５丁目,-,東京都中央区銀座 5-9-16 Ginza-A5 2F,35.670105,139.765022,ラフィナージュ,フランス料理,★,月曜,"昼＝9,000円　夜＝22,000円",-,〇,-,-,-,〇,https://laffinage.jp/,050-5487-5229
渋谷区,上原１丁目,-,東京都渋谷区上原 1-1-20,35.66839,139.68749,四季ごはん 晴れ間。,日本料理,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝3,000-6,000円",-,-,-,-,-,〇,https://ha-re-ma.com/,050-5487-1220
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町 1-1-2 東京ミッドタウン日比谷 7F,35.673713,139.759173,龍吟,日本料理,★★★,不定休,"夜＝49,000円",-,〇,-,-,-,〇,https://www.nihonryori-ryugin.com/,050-5492-6263
千代田区,神田小川町３丁目,-,東京都千代田区神田小川町 3-10-1 駿台ビル 2F,35.695933,139.761244,ビストロべっぴん舎,カレー,ビブグルマン,"月曜, 水曜, 木曜の夜, 土曜～日曜の夜","昼＝1,000-1,500円　夜＝1,000-3,000円",-,-,-,-,-,〇,-,080-7896-5596
中央区,銀座３丁目,-,東京都中央区銀座 3-3-6 銀座モリタビル 7F,35.673122,139.765503,銀座 ふじやま,日本料理,★,不定休,"夜＝43,000-61,000円",-,〇,-,-,-,〇,-,050-5494-3148
港区,赤坂８丁目,赤坂,東京都港区赤坂 8-11-19,35.668585,139.729001,乃木坂 しん,日本料理,★,"月曜～火曜の昼, 日曜","昼＝13,000-37,000円　夜＝22,000-37,000円",-,〇,-,-,-,〇,https://www.nogi-s.com/,050-5486-7551
中央区,銀座７丁目,-,東京都中央区銀座 7-3-13 ニューギンザビル B1F,35.670133,139.760159,蓮 三四七,日本料理,★,日曜,"昼＝30,000円　夜＝30,000円",-,〇,-,-,-,〇,https://ginza-ren.jp/,050-3184-0977
中央区,銀座５丁目,-,東京都中央区銀座 5-10-11,35.669855,139.765483,能登 金沢の幸 銀座 ふる田,日本料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝5,000-8,000円",-,-,-,-,-,〇,https://noto-jidaiya.jp/,050-5486-8336
渋谷区,代々木５丁目,-,東京都渋谷区代々木 5-55-7,35.677839,139.692303,ロス レイエス マーゴス,スペイン料理,ビブグルマン,"月曜の昼, 火曜, 水曜～日曜の昼","夜＝4,500-7,000円",-,-,-,-,-,〇,https://www.los-reyes-magos.net/,050-5488-3566
品川区,上大崎３丁目,-,東京都品川区上大崎 3-3-4,35.633958,139.718081,やきとり 阿部,焼鳥,ビブグルマン,"月曜, 火曜～土曜の昼, 日曜","夜＝5,000-7,000円",-,-,-,-,-,〇,-,050-5494-5037
港区,南麻布４丁目,-,東京都港区南麻布 4-2-49 麻布サンパレス 2F,35.649081,139.722941,ラ・トラットリアッチャ,イタリア料理,ビブグルマン,日曜,"昼＝3,000-4,500円　夜＝4,000-6,000円",-,〇,-,-,-,〇,https://www.la-trattoriaccia.com/,050-5487-6270
港区,東麻布１丁目,-,東京都港区東麻布 1-29-15,35.655406,139.742539,鮨 すが弥,寿司,★,"月曜～火曜の昼, 水曜, 木曜～日曜の昼","夜＝44,000円",-,-,-,-,-,〇,-,050-5494-2263
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前 2-13-1,35.674942,139.712438,ビストロ ティロワ,フランス料理,ビブグルマン,"月曜, 火曜～金曜の昼","昼＝4,000-5,000円　夜＝6,000-9,000円",-,-,-,-,-,〇,https://www.bistro-tiroir.com/,050-5487-6582
港区,西麻布２丁目,-,東京都港区西麻布 2-24-14 Barbizon73 B1F,35.660258,139.722379,上,牛肉料理,★,"月曜～木曜の昼, 日曜","昼＝19,000円　夜＝31,000円",-,〇,-,-,-,〇,http://jo-tokyo.jp/,050-5487-0872
中央区,銀座８丁目,-,東京都中央区銀座 8-7-19 すずりゅうビル 3F,35.66853,139.761014,御料理 かつ志,日本料理,★,"月曜～土曜の昼, 日曜","夜＝17,000円",-,-,-,-,-,〇,-,03-6882-2111
中央区,銀座７丁目,-,東京都中央区銀座 7-5-4 La Vialle 銀座ビル 2F,35.670111,139.761564,銀座 とよだ,日本料理,★,日曜,"昼＝13,000円　夜＝31,000円",-,-,-,-,-,〇,https://ginza-toyoda.com/,03-5568-5822
港区,南麻布５丁目,-,東京都港区南麻布 5-1-5,35.653978,139.721805,分とく山,日本料理,★,"月曜～土曜の昼, 日曜","夜＝19,000円",-,〇,-,-,〇,〇,https://waketoku.com/,050-5487-5350
港区,西麻布２丁目,-,東京都港区西麻布 2-11-5,35.661286,139.722271,西麻布 拓,寿司,★,"月曜～土曜の昼, 日曜","夜＝22,000-33,000円",-,〇,-,-,-,〇,-,050-5488-5789
新宿区,神楽坂４丁目,-,東京都新宿区神楽坂 4-3-7,35.701768,139.740073,ルグドゥノム ブション リヨネ,フランス料理,★,月曜,"昼＝3,500-8,500円　夜＝8,500-13,000円",-,-,-,-,-,〇,http://lyondelyon.com/,050-5487-3324
港区,西麻布２丁目,-,東京都港区西麻布 2-16-1,35.661894,139.720413,壽修,日本料理,★★,"月曜～土曜の昼, 日曜","夜＝19,000-25,000円",-,-,-,-,-,〇,-,050-5487-2472
新宿区,若宮町,-,東京都新宿区若宮町 35-4,35.699262,139.73851,懐石 小室,日本料理,★★,日曜,"昼＝19,000円　夜＝43,000-73,000円",-,〇,-,-,-,〇,-,050-5487-3109
中央区,銀座７丁目,-,東京都中央区銀座 7-6-5 石井紀州屋ビル 2F,35.66973,139.761925,銀座 安達直人,日本料理,★,不定休,"夜＝16,000-21,000円",-,-,-,-,-,〇,http://ginza-adachi.jp/,050-5487-6301
江東区,三好２丁目,-,東京都江東区三好 2-15-12,35.680288,139.802687,オーツー,中国料理,ビブグルマン,"月曜, 火曜～金曜の昼","昼＝5,500-9,500円　夜＝5,500-9,500円",-,〇,-,-,-,〇,-,03-6458-8988
渋谷区,猿楽町,-,東京都渋谷区猿楽町 2-3,35.653106,139.704859,レザンファン ギャテ,フランス料理,★,月曜,"昼＝4,000-8,000円　夜＝9,500-16,000円",-,〇,-,-,-,〇,http://terrine-gates.com/,050-5486-9019
渋谷区,猿楽町,-,東京都渋谷区猿楽町 3-9 アヴェニューサイド代官山1 2F,35.652056,139.704292,サンプリシテ,フランス料理,★,"月曜, 火曜～水曜の昼","昼＝9,000円　夜＝20,000円",-,〇,-,-,-,〇,http://www.simplicite123.com/,050-5487-1570
港区,西麻布１丁目,-,東京都港区西麻布 1-7-2 アデッソ西麻布 2F,35.660841,139.726237,蕎麦 おさめ,蕎麦,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝3,000-5,000円",-,-,-,-,-,〇,http://soba-osame.com/,050-5487-7701
港区,西麻布１丁目,-,東京都港区西麻布 1-2-14 デュオ・スカーラ西麻布 WEST B1F,35.661019,139.726623,マ・キュイジーヌ,フランス料理,ビブグルマン,"月曜～火曜の昼, 水曜, 木曜～日曜の昼","夜＝6,000-8,000円",-,-,-,-,-,〇,-,050-5494-2102
渋谷区,上原１丁目,-,東京都渋谷区上原 1-33-12 ちとせビル 2F,35.669206,139.680674,中戸川,居酒屋,ビブグルマン,"月曜, 火曜～金曜の昼","昼＝3,500-6,000円　夜＝5,000-6,000円",-,-,-,-,-,〇,-,050-5487-0863
中央区,銀座８丁目,-,東京都中央区銀座 8-10-3 銀座三鈴ビル B1F,35.667989,139.762634,鮨 かねさか,寿司,★★,"月曜, 日曜","昼＝19,000-37,000円　夜＝37,000円",-,-,-,-,-,〇,http://www.sushi-kanesaka.com/,050-5487-2396
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前 5-46-7 GEMS青山CROSS B1F,35.663868,139.708783,デンクシフロリ,イノベーティブ,★,"月曜, 火曜の昼","昼＝7,500円　夜＝12,000円",〇,-,-,-,-,〇,https://denkushiflori.com/,050-5494-3146
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5-1-32 ST広尾 2F,35.64917,139.718997,オード,フランス料理,★,日曜,"昼＝10,000-20,000円　夜＝20,000円",-,〇,-,-,-,〇,https://restaurant-ode.com/,050-5486-8800
千代田区,神田小川町２丁目,-,東京都千代田区神田小川町 2-8,35.695169,139.763974,ポンチ軒,とんかつ,ビブグルマン,日曜,"昼＝1,500-3,000円　夜＝2,000-4,000円",-,-,-,-,-,-,https://www.ponchiken.jp/,050-5487-4056
新宿区,神楽坂３丁目,-,東京都新宿区神楽坂 3-6-29 MIビル 2F,35.700923,139.740071,フロレゾン,フランス料理,★,"月曜の昼, 日曜","昼＝5,000円　夜＝6,500-13,000円",〇,-,-,-,-,〇,https://floraison2019.com/,050-5487-9197
中央区,銀座６丁目,-,東京都中央区銀座 6-5-15 銀座能楽堂ビル 4F,35.67108,139.762081,茂松,日本料理,★,"月曜～土曜の昼, 日曜","夜＝25,000-33,000円",-,〇,-,-,-,〇,http://ginza-shigematsu.jp/,050-5486-9070
新宿区,荒木町,-,東京都新宿区荒木町 10-17,35.690263,139.722386,青華 こばやし,日本料理,★,不定休,"昼＝22,000-39,000円　夜＝28,000-39,000円",-,〇,-,-,-,〇,-,050-5486-5422
港区,東麻布２丁目,-,東京都港区東麻布 2-19-2,35.656712,139.742458,ユヌ パンセ,フランス料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝6,000-9,000円",-,-,-,-,-,〇,https://unepincee.com/,050-5494-2216
中央区,東日本橋２丁目,-,東京都中央区東日本橋 2-8-1,35.693192,139.785543,ミル,フランス料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝5,000-8,000円",-,-,-,-,-,〇,-,050-5494-3151
港区,三田３丁目,-,東京都港区三田 3-3-2 豊田ビル 2F,35.647299,139.743608,焼鳥 嘉とう,焼鳥,ビブグルマン,"月曜, 火曜～土曜の昼, 日曜","夜＝4,000-6,000円",-,-,-,-,-,〇,-,050-5486-6139
中央区,銀座１丁目,-,東京都中央区銀座 1-15-8,35.673433,139.770047,アロセリア ラ パンサ,スペイン料理,ビブグルマン,月曜,"昼＝3,500-8,000円　夜＝4,000-8,000円",-,-,-,-,-,〇,http://la-panza.com/,050-5486-5796
中央区,銀座５丁目,-,東京都中央区銀座 5-1-8 銀座MSビル B1F,35.672033,139.761786,レ・コパン ドゥ ドミニク・ブシェ,フランス料理,ビブグルマン,不定休,"昼＝3,000-7,000円　夜＝5,000-8,000円",-,〇,-,-,-,〇,https://www.lescopains.jp/,050-5486-8786
渋谷区,広尾５丁目,-,東京都渋谷区広尾 5-4-16 EAT PLAY WORKS 2F,35.650809,139.721777,アンコム,ベトナム料理,ビブグルマン,月曜,"昼＝1,500-2,500円　夜＝5,000-6,000円",〇,-,-,-,-,〇,-,050-5494-0280
新宿区,箪笥町,-,東京都新宿区箪笥町 27,35.700109,139.73281,ボルト,フランス料理,ビブグルマン,"月曜, 火曜～日曜の昼","夜＝5,000-7,000円",-,-,-,-,-,〇,-,050-5487-3331
港区,白金台５丁目,-,東京都港区白金台 5-17-10,35.637583,139.723244,アルシミスト,フランス料理,★,水曜,"昼＝14,000円　夜＝28,000円",-,〇,-,-,-,〇,https://alchimiste.jp/,050-5487-4136
港区,東麻布１丁目,-,東京都港区東麻布 1-20-3,35.655734,139.743314,クローニー,フランス料理,★★,"月曜～土曜の昼, 日曜","夜＝19,000円",-,〇,-,-,-,〇,http://www.fft-crony.jp/,050-5487-1041
中央区,銀座４丁目,-,東京都中央区銀座 4-2-15 塚本素山ビル B1F,35.67261,139.764022,バードランド,焼鳥,★,"月曜, 火曜～土曜の昼, 日曜","夜＝6,000-10,000円",-,-,-,-,-,〇,http://ginza-birdland.sakura.ne.jp/,050-5487-3819
中央区,銀座３丁目,-,東京都中央区銀座 3-5-3 シャネル銀座ビルディング 10F,35.67303,139.766458,ベージュ アラン・デュカス,フランス料理,★★,"月曜, 火曜","昼＝12,000-30,000円　夜＝18,000-30,000円",-,-,〇,-,-,〇,http://beige-tokyo.com/,050-5488-2845
港区,東麻布３丁目,-,東京都港区東麻布 3-3-9 アネックス麻布十番 B1F,35.657128,139.738814,御料理 辻,日本料理,★,"月曜の昼, 日曜","昼＝10,000-37,000円　夜＝22,000-37,000円",-,〇,-,-,-,〇,https://oryouritsuji.jp/,050-5488-5056
渋谷区,千駄ケ谷３丁目,-,東京都渋谷区千駄ヶ谷 3-7-13 原宿東急アパートメント B1F,35.676892,139.704283,シンシア,フランス料理,★,"月曜～土曜の昼, 日曜","夜＝17,000円",-,-,-,-,-,〇,-,050-5486-9428
渋谷区,神宮前３丁目,-,東京都渋谷区神宮前 3-42-12,35.671898,139.713927,アンディ,ベトナム料理,ビブグルマン,"月曜, 火曜～金曜の昼","昼＝6,000-9,000円　夜＝6,000-9,000円",-,-,-,-,-,〇,-,050-5486-9134
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町 1-24-4,35.681571,139.784037,ロワゾー,焼鳥,ビブグルマン,不定休,"夜＝4,000-5,000円",-,-,-,-,-,〇,https://www.loiseau-tokyo.com/,050-5487-4142
中央区,日本橋室町１丁目,日八京,東京都中央区日本橋室町 1-9-4 B1F,35.685096,139.775571,ラ ペ,フランス料理,★,木曜,"昼＝7,500円　夜＝16,000円",-,〇,-,-,-,〇,https://lapaix-m.jp/,050-5486-8015
渋谷区,上原１丁目,-,東京都渋谷区上原 1-33-12 ちとせビル 2F,35.669206,139.680674,キガルニワショク弾,居酒屋,ビブグルマン,不定休,"昼＝3,500円　夜＝4,000-6,000円",-,-,-,-,-,〇,-,050-5487-0869
港区,南麻布４丁目,-,東京都港区南麻布 4-2-34,35.647607,139.723796,青草窠,日本料理,★★,日曜,"昼＝8,500-43,000円　夜＝31,000-43,000円",-,〇,-,〇,-,〇,https://seisoka.com/,050-5488-6173
港区,赤坂５丁目,赤坂,東京都港区赤坂 5-5-9,35.670746,139.734392,花のれん 花楽,日本料理,★,日曜,"昼＝5,500-11,000円　夜＝15,000-25,000円",-,〇,-,-,-,〇,https://hananoren-kagura.jp/,050-5487-6483
渋谷区,富ケ谷２丁目,-,東京都渋谷区富ヶ谷 2-22-5,35.662957,139.684571,七草,日本料理,★,"月曜, 火曜～土曜の昼, 日曜","夜＝8,000円",-,-,-,-,-,〇,https://www.nana-kusa.net/,050-5487-6817
中央区,八丁堀４丁目,-,東京都中央区八丁堀 4-2-8,35.674372,139.773327,四季の食 さいとう,日本料理,ビブグルマン,"月曜の昼, 土曜の昼, 日曜","昼＝1,000-1,500円　夜＝5,000-8,000円",-,-,-,-,-,-,http://shikinosyoku-saito.com/,050-5488-3152
港区,西麻布２丁目,-,東京都港区西麻布 2-15-1,35.661613,139.720949,ル ブトン,フランス料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝6,000-8,000円",-,-,-,-,-,〇,http://www.lebouton.jp/,050-5487-3315
港区,白金６丁目,-,東京都港区白金 6-5-3,35.64436,139.724794,あき山,日本料理,★,"月曜～水曜の昼, 木曜, 金曜の昼","昼＝3,000-20,000円　夜＝18,000-21,000円",-,-,-,-,-,〇,-,03-6277-0723
中央区,新富２丁目,-,東京都中央区新富 2-5-5,35.671597,139.774027,久丹,日本料理,★★,"月曜～土曜の昼, 日曜","夜＝31,000-34,000円",-,〇,-,-,-,〇,-,050-5487-6581
港区,南青山３丁目,-,東京都港区南青山 3-10-40 フィオラ南青山 2F,35.666474,139.714235,ミモザ,中国料理,★,"月曜～土曜の昼, 日曜","夜＝15,000円",-,-,-,-,-,〇,http://mimosa-aoyama.com/,050-5487-1494
中央区,日本橋浜町３丁目,-,東京都中央区日本橋浜町 3-7-3,35.684093,139.78831,浜町 かねこ,蕎麦,ビブグルマン,"月曜の昼, 土曜の夜, 日曜","昼＝1,000-4,000円　夜＝1,000-4,000円",-,〇,-,-,-,-,https://www.hamachokaneko.com/,050-5488-5666
新宿区,神楽坂５丁目,-,東京都新宿区神楽坂 5-7,35.702159,139.73899,波濤,寿司,★,日曜,"昼＝34,000円　夜＝34,000円",-,-,-,-,-,〇,-,050-3138-5225
中央区,湊３丁目,-,東京都中央区湊 3-5-10,35.669656,139.778257,旬恵庵 あら垣,天ぷら,★,"月曜, 火曜～木曜の昼, 金曜","昼＝16,000円　夜＝16,000円",-,-,-,-,-,〇,-,050-5488-2679
中央区,銀座８丁目,-,東京都中央区銀座 8-7-2 銀座藤井ビル2 5F,35.668825,139.761531,オステリア ダ カッパ,イタリア料理,ビブグルマン,"月曜～土曜の昼, 日曜","夜＝5,000-8,000円",-,-,-,-,-,〇,http://ginzakappa.com/,050-5487-8265
港区,南青山２丁目,-,東京都港区南青山 2-14-15 五十嵐ビル 2F,35.670276,139.720243,慈華,中国料理,★,月曜,"昼＝13,000-37,000円　夜＝19,000-37,000円",-,〇,-,-,-,〇,https://www.itsuka8.com/,050-5488-2305
港区,西麻布２丁目,-,東京都港区西麻布 2-26-4,35.660213,139.719404,レフェルヴェソンス,フランス料理,★★★,"月曜, 日曜","昼＝34,000円　夜＝34,000円",-,〇,-,-,-,〇,http://www.leffervescence.jp/,03-5766-9500
