指標名,病院・診療所・クリニック,,,,,,,
出典,病院なび,,,,,,,
年次,2022/1/18取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2020年度：6,158件、2021年度：6,304件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
中央区,銀座１丁目,-,東京都中央区銀座1-2-4 サクセス銀座ファーストビル2F,35.674949,139.768641,メディカルチェックスタジオ 東京銀座クリニック,"心臓血管内科(循環器), 脳神経外科",https://byoinnavi.jp/clinic/267746
中央区,日本橋大伝馬町,-,東京都中央区日本橋大伝馬町13-8 メディカルプライム日本橋小伝馬町4階,35.691028,139.781088,東日本橋レディースクリニック,産婦人科,https://byoinnavi.jp/clinic/273074
中央区,築地３丁目,-,東京都中央区築地3-4-7 銀鱗ビル 5階,35.668394,139.773591,いしいクリニック築地,"皮膚科, 小児皮膚科, 美容皮膚科, 内科",https://byoinnavi.jp/clinic/258815
中央区,佃２丁目,-,東京都中央区佃2-1-6 リバーシティM-SQUARE1F,35.669586,139.785387,リバーシティこどもクリニック,小児科,https://byoinnavi.jp/clinic/180356
中央区,日本橋人形町１丁目,-,東京都中央区日本橋人形町1-7-7 笠原ビルディング3F,35.684976,139.782593,東京心臓血管・内科クリニック,"循環器内科, 心臓血管外科, 内科, 糖尿病内科",https://byoinnavi.jp/clinic/272000
中央区,銀座７丁目,-,東京都中央区銀座7-2-4 ムサシ7ビル4階,35.671027,139.760648,医療法人社団すずらん せいこレディースクリニック銀座,"産婦人科, 婦人科",https://byoinnavi.jp/clinic/345
中央区,日本橋堀留町２丁目,-,東京都中央区日本橋堀留町2-6-6 ライフサイエンスビル8階,35.689365,139.780891,iこころクリニック日本橋,"精神科, 心療内科",https://byoinnavi.jp/clinic/274067
中央区,明石町,-,東京都中央区明石町11-15 ミキジ明石町ビル2階,35.667097,139.774819,築地リウマチ膠原病クリニック,"リウマチ科, 内科, アレルギー科",https://byoinnavi.jp/clinic/277874
中央区,銀座５丁目,-,東京都中央区銀座5-9-13 銀座菊正ビル3F,35.669966,139.764825,銀座心療内科クリニック,"心療内科, 精神科",https://byoinnavi.jp/clinic/271887
中央区,日本橋３丁目,日八京,東京都中央区日本橋3-2-15 ザ・レジデンス東京駅前1階,35.680474,139.771216,日本橋れいわ内科,"内科, 糖尿病内科",https://byoinnavi.jp/clinic/274074
中央区,日本橋人形町２丁目,-,東京都中央区日本橋人形町2-2-3 アライヴ人形町2階,35.684749,139.784038,人形町まつだ耳鼻咽喉科,耳鼻いんこう科,https://byoinnavi.jp/clinic/279716
中央区,日本橋蛎殻町１丁目,-,東京都中央区日本橋蛎殻町1-29-6 水天宮前東急ビル9F,35.68331,139.783882,日本橋ストレスケアクリニック,"心療内科, 精神科",https://byoinnavi.jp/clinic/279257
