指標名,世界トップ企業,,,,,,,,,,,,,,,,,,,,,
出典,Forbes/Fortune,,,,,,,,,,,,,,,,,,,,,
年次,2021年,,,,,,,,,,,,,,,,,,,,,
URL,https://www.forbes.com/global2000、https://fortune.com/global500/2021,,,,,,,,,,,,,,,,,,,,,
備考,2019：157件　2020：165件　2021：163件,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Fortune,,,,,,,,Forbes,,,,,
区,町丁,エリア,住所,緯度,経度,Company name,企業名,Ranking,Rank,Change in Rank,Revenues 2020($M),Revenue % Change,Profits 2020($M),Profits % Change,Assets ($M),Employees,Rank,Change in Rank,Sales,Profits,Assets,Market Value
港区,南青山２丁目,-,東京都港区南青山２丁目１－１　,35.672266,139.723751,Honda Motor,本田技研工業株式会社,Fortune Global 2021,48,▼9,124240.6,▼9.5,6201.6,△47.9,"198,201","211,374",-,-,-,-,-,-
千代田区,丸の内２丁目,大丸有,東京都港区芝浦３丁目１番２１号,35.681055,139.762567,Mitsubishi,三菱自動車工業株式会社,Fortune Global 2021,51,▼9,121542.7,▼10.6,1627.7,▼66.9,"168,490","82,997",-,-,-,-,-,-
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目５－１　,35.685704,139.763744,Nippon Telegraph and Telephone,ＮＴＴ（日本電信電話株式会社）,Fortune Global 2021,55,△7,112670.3,△2.9,8642.6,△9.9,"207,645","324,667",-,-,-,-,-,-
千代田区,大手町２丁目,大丸有,東京都千代田区大手町２丁目３番１号,35.686859,139.767437,Japan Post Holdings,日本郵政株式会社,Fortune Global 2021,58,△2,110561.3,△0.6,3945.3,▼11.3,"2,692,027","243,612",-,-,-,-,-,-
港区,港南１丁目,-,東京都港区東新橋１丁目７－１,35.631166,139.743612,Sony,ソニー株式会社,Fortune Global 2021,88,△34,84893.1,△11.7,11053.6,△106.4,"238,290","109,700",-,-,-,-,-,-
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内１丁目６番６号,35.683186,139.765766,Hitachi,株式会社日立製作所,Fortune Global 2021,95,△11,82344.6,△2.1,4731.8,△487.3,"107,169","350,864",-,-,-,-,-,-
千代田区,大手町１丁目,大丸有,東京都千代田区大手町１丁目３番１号,35.687754,139.762261,Mitsui,三井物産株式会社,Fortune Global 2021,114,△58,75562.4,△19.3,3164.5,▼12.1,"113,163","44,509",-,-,-,-,-,-
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１丁目１３－１　,35.675837,139.760817,Dai-ichi Life Holdings,第一生命保険株式会社,Fortune Global 2021,119,△46,73841.5,△12.8,3431.6,△1050.3,"574,988","64,823",-,-,-,-,-,-
中央区,日本橋２丁目,日八京,東京都中央区日本橋二丁目７番１号　東京日本橋タワー,35.681913,139.774275,Marubeni,丸紅株式会社,Fortune Global 2021,165,△8,59735.2,▼4.9,2125.7,,"62,739","49,265",-,-,-,-,-,-
