指標名,ナイトライフ施設,,,,,,,,,,,,,
出典,TOKYO CLUB MAP,,,,,,,,,,,,,
年次,2022/1/17,,,,,,,,,,,,,
URL,https://www.tokyo-club.net/,,,,,,,,,,,,,
備考,（2020年度：340件、2021年度：343件）,,,,,,,,,,,,,
,,,,,,,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,業種,ジャンル,電話,営業時間,定休日,キャパシティ,平均利用額,URL
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-23-12 フォンティスビルB1F,35.66000,139.69593,DAIA,パーティースペース,Others,03-5489-3750,,,200名 (立),,
渋谷区,宇田川町,-,東京都渋谷区宇田川町15-1 渋谷PARCO内 B1F,35.66205,139.69894,QUATTRO LABO,カフェバー,Jazz ･ Soul ･ AOR ･ 70s ･ 80s ･ World ･ R&B ･ Rock ･ etc.,03-6455-3001,月-土・祝前: カフェ11:00-17:00 / バー18:00-26:00日曜・祝日: 23:30まで,無し・パルコの営業日に準ずる,33席,"1,000円",https://quattrolabo.com/
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-17 ライズビル2F / 4F,35.66147,139.69869,WWW X,ライブハウス,Live ･ POPs ･ Techno ･ Electro ･ Rock ･ Folk ･ etc.,03-5458-7688,※公演による,,約600人,,
渋谷区,円山町,-,東京都渋谷区円山町2-3 2F,35.65850,139.69534,TSUTAYA O-WEST,ライブハウス,Others ･ POPs ･ Rock ･ Jazz ･ Live,03-5784-7088,※スケジュールにより異なる,無休,600人,,
渋谷区,円山町,-,東京都渋谷区円山町1-3 猪鼻ビルB1F,35.65967,139.69540,nob,バー ･ 貸切,Live ･ Others,03-3464-9593,18:00～※イベント時は要確認,祝日,約50人,"3,000円",
渋谷区,宇田川町,-,東京都渋谷区宇田川町11-11 柳光ビル本館3F,35.66255,139.69722,喫茶SMiLE,カフェバー,Live ･ Allmix ･ House ･ Jazz ･ Others,03-6416-3998,18:00-24:00 ※土日は変動する為、要確認,,30名未満 (目算),ランチ500円～ / イベント時1500円,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-13-3 MST道玄坂2F,35.65749,139.69861,Rockin Cafe Shibuya GABIGABI,ライブバー,Rock ･ Acoustic ･ Folk ･ Blues ･ POPs ･ Others,03-3463-5538,19:00-25:00,無し,20席前後,"1,500円～2,000円",http://www.gabigabi.jp/
渋谷区,神南１丁目,-,東京都渋谷区神南1-7-9 北谷マンションB1F,35.66415,139.69933,Green Lounge,パーティースペース,Others,03-6455-3308,10:00～,不定休,120人,4000円,
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7 トウセン宇田川ビル1F,35.66249,139.69787,STAR LOUNGE,ライブハウス,HipHop ･ Allmix ･ Live ･ R&B ･ DUBSTEP ･ All Genre,03-6277-5373,※ライブスケジュールにより異なる,,250人,,
渋谷区,宇田川町,-,東京都渋谷区宇田川町10-1 パークビルB1F,35.66253,139.69699,JUMP,DJバー,HipHop ･ Reggae ･ House ･ Techno ･ Rock ･ Electro,03-6416-9203,20:00-05:00 ※イベントにより異なる,,80人,3000円,
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-9 クレタケビル3F,35.66247,139.69770,Organ Bar,CLUB,HipHop ･ House ･ Allmix ･ Techno ･ Reggae ･ R&B ･ Disco ･ Old school ･ Soul ･ Funk,03-5489-5460,21:00～ ※詳細はHPでご確認ください。,無休,小箱,2000円,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-25-17 カスミビル4F,35.65955,139.69763,RUBY ROOM,CLUB ･ バー,House ･ Techno ･ Live ･ Rock ･ etc.,03-3780-3022,20:00～ ※イベントにより異なる,不定休,100人前後,2800円,
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-9 くれたけビル4F,35.66247,139.69770,Club BALL,ミュージックバー,House ･ Soul ･ Jazz ･ Funk ･ Disco ･ HipHop ･ Reggae ･ Others,03-3476-6533,スケジュールにより変動,,,3000円,
渋谷区,神宮前５丁目,-,東京都渋谷区神宮前5-27-7 B1F,35.66476,139.70347,Galaxy Gingakei,ミュージックスペース ･ ギャラリー,Others,03-6427-2099,※イベント･スケジュールにより異なる,,136m2 | 有効床面積 84m2,2000円～,
渋谷区,神南１丁目,-,東京都渋谷区神南1-3-4 神南ビル B1F,35.66471,139.70121,UNDER DEER LOUNGE,ミュージックラウンジ,Live ･ POPs ･ Soul ･ Funk ･ All Genre,03-5728-2655,17:00-24:00,無休,50人～150人前後,4000円,
渋谷区,東２丁目,-,東京都渋谷区東2-20-13 シャトレー渋谷B1F,35.65337,139.70898,dining&bar KITSUNE,ダイニングバー,House ･ HipHop ･ Electronic ･ Others,03-5766-5911,日-木･祝 18:00-24:00 / 金･土･祝前 18:00-05:00,無し (年始は休業となる),300人,3500円,
渋谷区,桜丘町,-,東京都渋谷区桜丘町16-7 鈴木ビルB1F,35.65641,139.70108,Woodstock,バー,Live ･ Rock ･ etc.,03-6712-7963,19:00-03:00,日,目算80名未満 / 40席前後,"3,000円カクテル800円～ / ビール650円～",2019年11月2日
渋谷区,神南１丁目,-,東京都渋谷区神南1-15-7 COENビルB1,35.66357,139.69936,UNDERBAR,CLUB,HipHop ･ House ･ R&B ･ Electronic,03-3780-0858,16:00-21:00 / 22:00-05:00,無休,80人,3000円,
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-27-1 高架下1F,35.65961,139.70118,Cafe & Bar SCRAMBLE,カフェ ･ バー,Allmix,03-5468-1200,09:00-02:00 / 金･土･祝前 09:00-05:00,無休,立 120名 (70席前後),1500円,
渋谷区,桜丘町,-,東京都渋谷区桜丘町16-12 MUSIC LAND KEY B1F,35.65680,139.70111,RUIDO K2,ライブハウス ･ CLUB,Live ･ Others ･ POPs ･ Rock ･ Jazz ･ All Genre,03-3462-5310,※スケジュールにより異なる,,200人,,
渋谷区,宇田川町,-,東京都渋谷区宇田川町11-1 柳光ビル別館B1F,35.66257,139.69734,ROCKAHOLIC,ミュージックバー,Rock ･ Metal ･ Punk,03-6416-9469,19:00-05:00,無休,48席,2500円,
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7 トウセン宇田川町ビル3F,35.66249,139.69787,Milkyway,ライブハウス ･ バー,Live ･ All Genre,03-6416-3227,※イベント･スケジュールにより異なる,,250人,3000円前後,
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7 トウセン宇田川町ビル2F,35.66249,139.69787,shibuya THE GAME,Club,HipHop ･ R&B ･ Reggae,03-5456-5038,※イベントにより異なる,,300人,3500円,
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-10-2 志水ビルB1F,35.66065,139.70504,club bar FAMILY,CLUB,BlackMusic ･ HipHop ･ Techno ･ Allmix ･ R&B,03-3400-9182,HP参照,不定休,200人,3000円,
渋谷区,桜丘町,-,東京都渋谷区桜丘町26-1 セルリアンタワー東急ホテル2F,35.65646,139.69942,JZ Brat SOUND OF TOKYO,ダイニングクラブ,Jazz ･ Soul ･ House ･ POPs ･ R&B ･ Rock,03-5728-0168,17:30-23:30 (クラブイベント開催時は05:00まで営業),,スタンディング200人 / 着席時100人,ミュージックチャージ 3150円～ / 金･土曜日深夜 クラブイベント -エントランス 1000/1drink～,
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-17 ライズビル地下,35.66147,139.69869,WWW,ライブハウス,Live ･ All Genre,03-5458-7685,※イベントにより異なる,不定休,400人,3800円,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-13-2 宝ビルB1F,35.65768,139.69850,NOSTYLE,CLUB,Allmix ･ Techno ･ HipHop ･ House ･ Electronic ･ Jazz,03-3462-4375,※イベントにより異なる,,100人,"3,300円",http://nostyle2003.com/
渋谷区,桜丘町,-,東京都渋谷区桜丘町17-10 吉野ビル3F,35.65627,139.70098,Bar star star,バー,Rock ･ Allmix ･ POPs ･ Live,03-6427-0186,19:00-03:00,無休,50人,1500円,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-15-3 プリメーラ道玄坂B1F,35.65734,139.69771,La.mama,ライブハウス,Live ･ POPs ･ Folk ･ Rock ･ R&B,03-3464-0801,,,スタンディング 250人,,
渋谷区,宇田川町,-,東京都渋谷区宇田川町36-3 渋谷営和ビル5F,35.66197,139.69737,CAFE&DINNER スタジオ,カフェ,House ･ Techno ･ Allmix ･ R&B,03-3770-7723,月-木12:00-24:00 / 金･土･祝前 12:00-05:00,無休,50人,ランチ850円 / 夜2000円前後,
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-16 国際ビルB館B1F,35.66142,139.69835,GARRET udagawa,ライブハウス,POPs ･ Rock ･ Live ･ Others,03-3463-0169,※スケジュールにより異なる,,300人,,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-23-13 SHIBUYA DELITOWER B1,35.66011,139.69610,EN SOF TOKYO,ダイニングバー,Techno ･ House ･ Electro ･ Drum&Bass ･ BassMusic ･ Others,03-5728-5349,19:00～,無休,70人,3000円,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-21-7 第八矢澤ビル 1F-B1F,35.65903,139.69552,CLUB NEVERLAND,CLUB,ALLMIX ･ EDM ･ TOP40 ･ House ･ R&B ･ etc.,03-6416-0377,20:00～,無し,(200名～ ※目算),"2,000円～",https://neverland.love/
渋谷区,宇田川町,-,東京都渋谷区宇田川町13-16 国際ビルA館B2F,35.66142,139.69835,CYCLONE,ライブハウス,Rock ･ Live,03-3463-0069,18:00～ ※スケジュールにより異なる,,300人,3000円,
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-18-7 渋谷東1号館5F,35.65715,139.70379,OTO,CLUB,Disco ･ Lounge ･ Allmix ･ Techno ･ House ･ HipHop ･ Jazz ･ Electronic ･ R&B,03-3486-8477,※スケジュールにより異なる,,,,http://shibuya-oto.com/
渋谷区,円山町,-,東京都渋谷区円山町1-8,35.65902,139.69535,club asia,CLUB,House ･ HipHop ･ Trance ･ Techno ･ Drum&Bass ･ Live ･ Reggae ･ Electro,03-5458-2554,※イベントにより異なる,無し,600人,"4,000円",http://asia.iflyer.jp/venue/
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-23-12 フォンティスビル3F,35.66000,139.69593,Icon,ラウンジ ･ イベントスペース,Techno ･ House ･ Electronic ･ Lounge,03-6277-5987,ランチ(月〜金) 11:30-15:30 / 貸切パーティー 24時間対応可能 / ※イベント時は異なる,,180人,ランチ1000円 / パーティー 3000円～,
渋谷区,円山町,-,東京都渋谷区円山町2-20 農場協会ビル1F,35.65877,139.69493,White Space Lab,カフェ＆バー,Others,03-6416-3973,19:00-24:00※最新の情報とは異なる場合がございます。必ず事前にご確認下さい。,日 ･ 月,50名,"2,000円前後",
渋谷区,神南１丁目,-,東京都渋谷区神南1-13-15 光立ビルB1F,35.66408,139.70026,KOARA,DJバー,Techno ･ House ･ Allmix ･ Disco,03-6423-0644,月-木21:00-05:00金･土21:00-06:00日17:00-23:00※最新の情報とは異なる場合があります。必ず事前にご確認下さい。,,40人前後,3000円,
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-10-7 グローリア宮益坂III B1F,35.66050,139.70495,Shibuya HOME,ライブハウス,All Genre ･ Live,03-5774-5822,※スケジュールにより異なる,,120人,,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-17-6 プロスペクトB1F,35.65685,139.69715,GUILTY,ライブハウス,Live ･ POPs ･ R&B ･ Rock ･ All Genre,03-3770-1130,,,250人,,
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-7 トウセン宇田川ビル B1F,35.66249,139.69787,CHELSEA HOTEL,ライブハウス ･ クラブ,Techno ･ DUBSTEP ･ Live ･ Allmix ･ Others,03-3770-1567,※イベントスケジュールにより異なる,,300人,,
渋谷区,宇田川町,-,東京都渋谷区宇田川町32-13-4 クアトロビル5F,35.66098,139.69756,CLUB QUATTRO,ライブハウス,Live ･ Others ･ POPs ･ Rock,03-3477-8750,※スケジュールにより異なる,,800人,3000円前後,
渋谷区,神南１丁目,-,東京都渋谷区神南1-15-8 引き出しのような家にB1F,35.66366,139.69940,nagomix,イベントスペース,Others,03-6809-0833,スケージュールによるDJブース開放日あり (17:00-22:00)貸切可能時間 10:00-23:00,,200人,,
渋谷区,宇田川町,-,東京都渋谷区宇田川町4-3 ホテルユニゾ渋谷B1F,35.66257,139.69837,NOS ORG,ダイニングバー,Others,03-5459-1717,18:00-02:00 / 日･祝 17:00-23:00,不定休,立 200人 (100席以上),3000円,
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-10-7 グローリア宮益坂III B1F,35.66050,139.70495,LUSH,CLUB ･ ライブハウス,Live ･ All Genre ･ Others,03-5467-3071,クラブタイム 23:00-05:00,,100人,2000円 1ドリンク～,
渋谷区,桜丘町,-,東京都渋谷区桜丘町15-19 第8東都ビルB1F,35.65626,139.70183,THE ROOM,CLUB,House ･ Crossover ･ Disco ･ Jazz ･ etc.,03-3461-7167,スケジュールにより異なる,,100人,3000円～,
渋谷区,道玄坂１丁目,-,東京都渋谷区道玄坂1-17-12 野々ビル2F,35.65721,139.69697,Edge End,DJBAR,Lounge ･ Live ･ Rock,03-5458-6385,20:00～ ※スケジュールにより変動,不定休,,3000円,
渋谷区,宇田川町,-,東京都渋谷区宇田川町11-6 渋谷宇田川KKビル3F,35.66233,139.69744,ROOTS,DJバー,Reggae ･ House ･ Trance ･ Allmix ･ HipHop ･ Techno,03-6273-2345,19:00-05:00 ※日により変わる,不定,50人～70人,3000円,
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-18-8 ニュー関口ビルB1F,35.66437,139.70260,CROCODILE,ライブハウス,Live ･ Others,03-3499-5205,18:00-25:00,,100名,3500円,
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-1-9 渋谷第3KKビルB1F,35.65768,139.70785,Violetta,バー,Others ･ Electro,03-6427-5041,17:00-24:00 ※変動あり,不定休,立40人,"3,500円",2019年12月12日
渋谷区,宇田川町,-,東京都渋谷区宇田川町10-2 渋谷宇田川町テナント1F,35.66279,139.69703,FLAMINGO,カフェ ･ バー,Others,03-6416-5513,月-土 11:30-05:00ランチ 11:30-15:00 / アイドル 15:00-18:00 / ディナー 18:00-23:00 / 深夜 23:00～日 11:30-24:00,無し,60名 (席 30程),"1,000円～2,500円",
渋谷区,円山町,-,東京都渋谷区円山町2-3 O-WESTビル7F,35.65850,139.69534,7th FLOOR,ライブハウス ･ バー,Live ･ Others ･ POPs ･ Rock,03-3462-4466,ライブ ※スケジュールにより異なる (ランチライブ営業もあり)バータイム 23:00-05:00 (ライブ終了後),,100人,,
渋谷区,神南１丁目,-,東京都渋谷区神南1-12-14 星ビル301,35.66283,139.70056,TRUMPROOM,CLUB,House ･ Techno ･ Electronic ･ DUBSTEP,03-3770-2325,,無休,300人 / 2フロア 約70坪,4000円,
渋谷区,神南１丁目,-,東京都渋谷区神南1-6-8 B1F,35.66424,139.69959,eggman,ライブハウス,Live ･ All Genre,03-3496-1561,※イベントにより異なる,,350人,"4,000円",http://eggman.jp/
渋谷区,東１丁目,-,東京都渋谷区東1-25-2 マルハシビルB1F,35.65467,139.70845,CLUB CRAWL,ライブハウス ･ CLUB,Rock ･ Acoustic ･ Live ･ Others,03-3498-3113,All Night event 23:30～ ※イベントにより異なる,,200人,イベント時 DOOR / 2000円～3000円 1ドリンク,
渋谷区,宇田川町,-,東京都渋谷区宇田川町20-15 ヒューマックスパビリオン渋谷公園通りB1F,35.66115,139.70019,GRANDE,ラグジュアリーレストラン,Others,0120-926-428,12:00-06:00,無休,250人,4000円,
渋谷区,宇田川町,-,東京都渋谷区宇田川町10-1 パークビル2F,35.66253,139.69699,虎子食堂,レストラン ･ バー,Allmix ･ All Genre,03-6416-1197,月-土･祝日前 18:00-04:00 / 日･祝 18:00-01:00※イベント時の営業時間は、各イベントにより異なる。,無休,70人,2800円,
渋谷区,猿楽町,-,東京都渋谷区猿楽町3-9 アベニューサイド代官山3F,35.65206,139.70429,NOMAD,ライブハウス,Live ･ Others,03-3770-3723,ライブ開始は変動(公演可能時間: 10:00-15:00 / 15:30-22:00),不定,80人,,
渋谷区,渋谷１丁目,-,東京都渋谷区渋谷1-6-3,35.66086,139.70571,COZMO’S,カフェ ･ バー ･ イベントスペース,Others ･ Live ･ All Genre,03-3407-5166,18:00～,日,40名前後 ※目算,1000円～2000円,
渋谷区,円山町,-,東京都渋谷区円山町2-4 Dr.ジーカンズ1F,35.65828,139.69531,A BAR,CLUB,Allmix ･ EDM ･ HipHop ･ R&B,,ATOMの営業に準ずる,,,,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-22-6,35.65967,139.69555,しぶや花魁,DJバー ･ レストラン,Allmix,03-5456-8782,18:00-05:00 / 18:00-24:00,不定休,席数 : 1F 20人 / 2F 25人,3000円,
渋谷区,神南１丁目,-,東京都渋谷区神南1-9-11 インタービルⅡ 5F,35.66493,139.70155,Cafe Apres-midi,バー ･ カフェ,Soul ･ Disco ･ House ･ Live ･ Others,03-5428-5121,金 19:00-25:00土 11:30-23:30日 11:30-19:00,月-木,25席,2000円,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-29-5 渋谷プライム5F,35.65953,139.69832,eplus LIVING ROOM CAFE&DINING,ライブカフェバー,Live ･ Acoustic ･ Jazz ･ POPs ･ Folk ･ Blues  ･ Others,03-6452-5424,11:30-23:30 (L.O 23:00)日･祝 11:30-22:00 (L.O 21:00),不定休,300席,ランチ1000円～ / 夜4000円～ミュージックチャージ 500円,
渋谷区,神宮前６丁目,-,東京都渋谷区神宮前6-20-10 ミヤシタパーク北街区 1F-3F,35.66314,139.70180,or,カフェ ･ クラブ,Others,03-6712-5277,※当面の間 08:00～23:003階のクラブは17:00～※コロナウイルス情勢により営業時間変更の可能性あり1階: 08:00-05:002階: 13:00-05:003階: 20:00-05:00,商業施設ミヤシタパークの営業に準ずる,1階: 100名 / 22席 (151平米)2階: 100名 / 22席 (149平米)3階: 300名 / 54席 (279平米)合計: 500名 / 98席※人数はフロアごとの最大入場可能者数,"4,000円～",
渋谷区,円山町,-,東京都渋谷区円山町2-16 1F,35.65833,139.69502,WOMB LOUNGE,ラウンジ ･ イベントスペース,Techno ･ House ･ Electronic ･ Bass ･ etc.,03-5459-1383,22:00～ ※イベントにより異なる,不定休,,3500円,http://www.womb.co.jp/lounge/
渋谷区,宇田川町,-,東京都渋谷区宇田川町21-7 不二ビルB1F,35.65995,139.70008,GASPANIC Center-Gai,DJバー,Allmix,Closed,18:00-05:00,無休,,"2,500円",
渋谷区,宇田川町,-,東京都渋谷区宇田川町10-1 パークビル 3F,35.66253,139.69699,Rock no Cocoro,ミュージックバー,Rock ･ 70s ･ 80s ･ Punk ･ Metal,Closed,19:00～,不定休,,2500円,
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-21-7 第八矢澤ビル5F/6F,35.65903,139.69552,LOUNGE NEO,CLUB,HipHop ･ House ･ Techno ･ Allmix ･ Reggae ･ R&B ･ Rock ･ Electro ･ Drum&Bass,Closed,※イベントにより異なる,不定休,260人,"4,000円",閉店: 2020年5月31日
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-21-7 第八矢澤ビル1F/B1F,35.65903,139.69552,VUENOS,ライブハウス,Live ･ Rock ･ Allmix ･ Others,Closed,※ライブスケジュールにより異なる,不定休,地下1階メインフロア200人 / 1階ラウンジ50人,"4,000円",2021年7月15日: 跡地に六本木でグリーンランド等を手掛けていたジュマンジグループ待望の新店「ネバーランド」が開店閉店: 2020年5月31日
渋谷区,渋谷３丁目,-,東京都渋谷区渋谷3-1-9 第3KKビルB1F,35.65768,139.70785,Test Flight,バー兼カフェ,Acoustic ･ POPs ･ Classics ･ Soul ･ 90s ･ Lounge ･ etc.,Closed,12:00-24:00 ※変動の可能性あり、要事前確認,不定,20席前後 ※目算,"昼 1,000円 / 夜 2,000円～",
渋谷区,道玄坂２丁目,-,東京都渋谷区道玄坂2-21-7 第8矢澤ビル2F/3F,35.65903,139.69552,Glad,Club,Live ･ Rock ･ HipHop ･ R&B,Closed,※イベントにより異なる,不定,200～250人,"3,500円",2020年5月31日に閉店
渋谷区,代官山町,-,東京都渋谷区代官山町11-12 日進ヒルズ代官山B1F,35.65093,139.70368,Debris,ミュージックバー,Techno ･ House ･ Disco ･ Others,03-6416-4334,19:00-24:00 / 日 18:00-23:00,月,40名未満 (目算),"2,000円～(イベントによりミュージックチャージ又はエントランス料金が発生)粥 850円～ / 薬膳茶 600円",
渋谷区,恵比寿南３丁目,-,東京都渋谷区恵比寿南3-1-25 ICE CUBE1F/2F,35.64608,139.70632,Batica,ライブハウス ･ CLUB,Live ･ Techno ･ Allmix ･ House ･ Bass ･ Jazz ･ Rock,03-5734-1995,※イベントにより異なる,不定休,150人,"4,000円未満",http://www.batica.jp/
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-8-2 ウエストパレス205,35.64777,139.70828,INDUSTRIAL LOUNGE,ラウンジ,Others,03-3461-1989,19:00-04:00,,150人,5000円,
渋谷区,猿楽町,-,東京都渋谷区猿楽町2-11 B1-B2F,35.65331,139.70451,SPACE ODD,イベント会場,All Genre ･ POPs ･ Live,03-6452-5671,公演ごとに変動,不定,B1階: 50人 / B2階: 300人,チケット代金+1ドリンク～,http://www.spaceodd.jp/
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-13-3 ROOB6ビル4F,35.64747,139.70781,What the Dickens,ライブバー,Rock ･ POPs ･ Blues ･ Folk ･ Oldies ･ Jazz ･ IndieRock ･ ChillOut ･ Metal,03-3780-2099,17:00～,月,180名,"3,500円",
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-34-17 ザ･ハウスビルB1F,35.64711,139.70243,B1FLAT,イベントスペース,Others ･ All Genre,03-5459-8631,11:30-24:00 ※要確認,不定,200名,,
渋谷区,恵比寿南３丁目,-,東京都渋谷区恵比寿南3-1-2 サウスビル4F,35.64581,139.70682,Cafe&Dining nurikabe,ダイニングバー,Others,03-6451-2022,12:00-15:00 / 17:00-24:00イベント時22:00～,無休,40人,3000円,
渋谷区,東２丁目,-,東京都渋谷区東2-24-4 荒井ビル2F,35.65168,139.70877,Suree,バー,House ･ Techno ･ Jazz ･ Disco ･ Soul ･ HipHop ･ etc.,03-3400-1383,平日･日･祝 20:00-02:00 / 金･土 20:00-05:00ランチ 11:30-15:00,,40人,3000円チャージ500円 / ドリンク700円から,
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-3-14 CONZE EBISU B1F,35.64560,139.70760,NOS EBISU,ダイニングバー,Allmix ･ Live ･ Techno ･ R&B,03-5773-1727,月-木18:00-02:00 / 金･土18:00-05:00 / 日･祝17:00-23:00,無休,スタンディング 180人,3500円,
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-34-17 ZAHOUSEビル B3F,35.64711,139.70243,SALOON,ナイトクラブ,Allmix ･ House ･ Techno ･ Drum&Bass ･ All Genre ･ DUBSTEP ･ Others ･ Live,03-5459-8633,※イベントにより異なる,不定休,総面積: およそ200平米,"5,000円",
渋谷区,恵比寿西２丁目,-,東京都渋谷区恵比寿西2-9-9 代官山テクノビル2Ｆ,35.64915,139.70726,enjoy!house,バー,House ･ HipHop ･ Techno ･ Allmix ･ Others ･ Jazz ･ Disco ･ Soul ･ TechHouse,03-5489-1591,火-木18:00-02:00 / 金18:00-05:00 / 土15:00-05:00 / 日15:00-02:00,月,,,
渋谷区,東３丁目,-,東京都渋谷区東3-16-6,35.64910,139.71054,LIQUIDROOM,ライブハウス,Live ･ All Genre,03-5464-0800,ライブにより異なる,,900人,5000円,
渋谷区,恵比寿西１丁目,-,東京都渋谷区恵比寿西1-34-17 ZaHOUSEビル,35.64711,139.70243,UNIT,CLUB ･ ライブハウス,Live ･ House ･ Techno ･ Allmix ･ Electronic ･ Others,03-5459-8630,※ライブ ･ イベントにより異なる,不定,600人,"3,500円",https://www.unit-tokyo.com/
渋谷区,東３丁目,-,東京都渋谷区東3-16-6 LIQUIDROOM 2F,35.64910,139.71054,KATA,ギャラリー ･ イベントスペース,Allmix ･ Others,,※イベント･スケジュールにより異なる,,100～150人,2000円前後,
渋谷区,代官山町,-,東京都渋谷区代官山町20-20 モンシェリー代官山B2F,35.64814,139.70221,晴れたら空に豆まいて,イベントスペース,POPs ･ Acoustic ･ All Genre ･ Others,03-5456-8880,18:00～ ※公演ごとに開催時間は変動(貸切: 日中10:00-15:00 / 夜15:00-22:00),無休,200名 (座: 130席),5000円前後,
渋谷区,恵比寿南２丁目,-,東京都渋谷区恵比寿南2-3-3 B1F,35.64535,139.70781,LIFE IS BEAUTIFUL,バー,Others,03-6303-2353,21:00～,無休,,,
渋谷区,恵比寿４丁目,-,東京都渋谷区恵比寿4-22-7 イーストスクエアビルB1F,35.64506,139.71472,club aim,ライブハウス,Live ･ Rock ･ POPs ･ Others,03-5422-6657,※スタートは日程により変動貸切 12:00-23:00,,150人,,
渋谷区,東３丁目,-,東京都渋谷区東3-14-19 オークヒルズ B1F,35.65132,139.70949,自由空間 CreAto,ライブホール,Others,03-6427-5273,ALL TIME,不定休,300人,,
渋谷区,東３丁目,-,東京都渋谷区東3-16-6 リキッドルーム2F,35.64910,139.71054,TimeOut Caf・& Diner,ラウンジ ･ カフェ,Live ･ Lounge ･ Others,03-5774-0440,11:30-23:30 / 土13:00-23:30 / 日･祝13:00-22:00,無休,100人,"1,500円",
渋谷区,鉢山町,-,東京都渋谷区鉢山町13-12 OXY有馬B1F,35.65113,139.69676,LIVE HOUSE LOOP 代官山,ライブハウス,Live ･ Folk ･ Acoustic ･ Funk ･ Jazz ･ Rock ･ POPs ･ Others,Closed,※スケジュールにより変わる,※ライブスケジュールにより異なる,スタンディング 300人,,http://www.live-loop.com/
港区,六本木５丁目,六本木,東京都港区六本木5-1-7 六本木ストリートビル 1F-2F,35.66255,139.73324,MEZZO TOKYO,ラウンジ ･ バー,House ･ EDM ･ Allmix ･ etc.,03-6438-9711,平日 19:00-01:00 / 金･土･祝前 19:00-03:00,日 ･ 祝,100人 (1階60 ･ 2階40),"2,000円～",2017年7月29日
港区,六本木７丁目,六本木,東京都港区六本木7-13-7 1F-B1F,35.66402,139.73048,V2 TOKYO,CLUB,Allmix ･ House ･ HipHop ･ Live ･ Electro ･ EDM ･ R&B,03-5474-0091,21:00-05:00,無休,450名,"4,500円",2013年7月5日
港区,西麻布１丁目,-,東京都港区西麻布1-7-2,35.66084,139.72624,A-LIFE,CLUB,House ･ Allmix ･ R&B ･ EDM ･ Electro ･ etc.,03-3408-1111,21:00-05:00,日 ･ 祝,約900人,"7,000円",http://www.e-alife.net/
港区,六本木５丁目,六本木,東京都港区六本木5-1-6 六本木B&Vビル2F・3F,35.66263,139.73311,ESPRIT TOKYO,DJラウンジ ･ CLUB,EDM ･ Allmix ･ R&B ･ HipHop,03-3470-1371,22:00-05:00※イベント等により営業時間が変更となる可能性があります。必ず事前にご確認下さい。,無休,500人,"MEN: 2,500円～ / WOMEN: 1,000円～",2015年4月24日
港区,六本木７丁目,六本木,東京都港区六本木7-8-6 AXALL ROPPONGI B1F,35.66488,139.72978,SEL OCTAGON TOKYO,クラブ,EDM ･ Electro ･ Techno ･ House ･ TRAP ･ etc.,03-3405-0088,木･金･土･祝前 22:00-05:00月･火･水 ※バー営業,不定 (祝前日でない日曜日は休みとなる場合が多い),700名 (VIP:82席),"男性5,000円 / 女性3,000円 ※目安",2019年2月7日
